Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Deron,Williams",Lal,25,59,22.9,76,7.3,5.5,0.61,0.75
"Dorell,Wright",Uta,33,48,17.1,25,2,1.8,0.83,0.17
"Earl,Boykins",Tor,23,45,24,102,9.7,6.7,0.56,0.84
"Elton,Brand",Mem,23,36,14.9,65,5.1,4.4,0.36,1.31
"Erick,Dampier",Dal,30,2,12.2,4,4.5,2,0,0
"Eric,Gordon",Mil,25,76,17.1,119,4.3,3.3,0.51,1.12
"Eddie,House",Dal,33,72,21,93,7.2,6,0.71,1.28
"Eddie,House",Was,30,79,25.8,191,9.7,8.7,0.57,0.97
"Ersan,Ilyasova",Uta,20,70,15.2,117,7.3,4.3,0.4,0.47
"Eric,Maynor",Lac,23,76,20.3,134,8.5,3,1.43,0.72
"Eric,Maynor",Nor,24,42,29.9,222,17,1.8,1.07,0.19
"Eduardo,Najera",Okc,25,37,10.4,21,2.8,0.5,0.27,0
"Eduardo,Najera",Por,25,27,21,38,6.9,1,0.44,0.04
"Emeka,Okafor",Mil,25,73,27.4,157,13.2,7.1,0.93,0.49
"Etan,Thomas",Orl,23,75,22.2,59,7.8,2.2,0.68,0.31
"Earl,Watson",Den,20,38,11.1,39,5.3,0.9,0.5,0.03
"Francisco,Garcia",Phi,24,82,35,208,13.3,6.3,0.87,0.21
"Fabricio,Oberto",Gol,23,78,14.1,81,2.4,4,0.29,0.95
"Gilbert,Arenas",Sac,31,40,17.6,14,5.2,1.7,0.8,0.78
"Glen,Davis",Hou,31,18,17.6,7,6.4,1.3,0.78,0.39
"Goran,Dragic",Was,26,51,22.5,37,5.1,2.4,0.98,0.33
"Gerald,Henderson",San,28,68,21.6,74,9.5,2.1,0.44,0.03
"George,Hill",Ind,26,76,34.2,213,14.2,3.8,1.07,0.34
"Grant,Hill",Ind,27,60,17.8,65,7,2.4,0.3,0.38
"Greg,Oden",Cha,25,68,31.2,313,15.5,3.7,1,0.5
"Garrett,Temple",Bro,30,69,29.9,190,7.7,4.6,1.41,0.67
"Gerald,Wallace",Orl,27,34,31.1,117,15.1,7.2,0.94,0.62
"Hilton,Armstrong",Pho,26,77,33.3,326,14.7,3.1,1.61,0.34
"Hasheem,Thabeet",Uta,22,72,29,294,14.1,3.1,0.81,0.53
"Hedo,Turkoglu",Lac,40,29,14.9,24,3.2,1.7,0.38,0.21
"Hakim,Warrick",Det,22,81,33,392,16,9.6,1.3,0.68
"Hakim,Warrick",Hou,22,70,15.7,130,6,4.6,0.26,0.57
"Ime,Udoka",Min,27,76,15.7,69,4,3.4,0.58,1.18
"Joel,Anthony",Nor,26,78,34.2,154,13.9,4.3,0.85,0.08
"Jose,Barea",Orl,27,43,13.1,38,3.6,3.3,0.3,0.3
"Jerryd,Bayless",Mil,27,12,13.3,12,4.3,4.9,0.75,0.33
"Jonathan,Bender",Cha,30,27,17.7,86,7,3.3,0.44,0.22
"Josh,Boone",Pho,27,17,13.6,25,4.1,5.1,0.29,1.24
"Jon,Brockman",Gol,20,81,25,190,9.2,4.1,0.64,0.17
"Jose,Calderon",Okc,25,66,11.5,53,2.4,2.9,0.45,0.91
"Jamal,Crawford",Orl,33,11,17,6,2.9,2.4,0.64,0.09
"Jared,Dudley",Ind,26,80,16.3,171,5,3.9,0.49,0.83
"Jordan,Farmar",Nyk,22,45,22,47,6.8,3,0.96,0.16
"Jonny,Flynn",Sac,23,79,26.6,287,13.9,2,0.85,0.04
"Jeff,Foster",Orl,24,36,10.3,7,2.4,1.3,0.36,0.17
"J.R.,Giddens",Atl,28,69,14.8,131,6.6,3.9,0.81,0.2
"Joey,Graham",Por,24,80,28.9,268,12.7,10.4,0.6,0.64
"Jeff,Green",Orl,28,50,31.3,129,15.1,2.4,0.58,0.1
"James,Harden",Mil,28,28,28.5,61,12.3,1.9,0.32,0.14
"Jarvis,Hayes",Nyk,27,80,33.3,311,18.1,5.3,1.25,0.3
"J.J.,Hickson",Dal,22,78,17.2,73,5,2.4,0.81,0.22
"Jordan,Hill",Uta,34,66,18.1,26,3.5,1.7,0.97,0.2
"Jordan,Hill",Lac,32,76,29.1,248,16.5,1.7,1.04,0.17
"Jrue,Holiday",Orl,30,56,35.1,102,14.7,3.7,1.27,0.11
"Josh,Howard",Hou,23,29,10.4,19,4,2,0.41,0.1
"Juwan,Howard",Hou,23,78,38.1,792,25.9,4.9,1.82,0.49
"Jarrett,Jack",Sac,25,54,16.1,67,5.1,2.7,0.76,0.93
"Jared,Jeffries",Was,22,51,11.6,39,2.5,2.4,0.29,0.31
"Jared,Jeffries",Was,33,7,14.3,2,3,0.9,0,0.14
"Jonas,Jerebko",Atl,33,7,16,2,5,1,0.43,0
"James,Johnson",Cha,33,18,16.1,9,8.4,1.2,0.83,0.11
"Joe,Johnson",Pho,27,79,27.3,162,10.9,3.1,0.95,0.1
"James,Jones",Bos,20,45,19.6,63,6,5.9,0.49,0.49
"Jason,Kapono",Gol,29,79,29.2,198,12.9,3.1,0.76,0.13
"Jason,Kidd",Bos,34,32,10.2,30,1.2,1.6,0.31,0.19
"Jamaal,Magloire",Nyk,39,76,26.7,48,6,4.3,1.64,0.32
"Jason,Maxiell",Det,29,72,24.7,145,6.9,5.7,0.44,1.32
"JaVale,McGee",Phi,32,33,28.2,33,10.5,3.8,1.21,0.45
"Josh,McRoberts",Nor,26,51,17,102,8.2,3.6,0.29,0.88
"Jodie,Meeks",Bos,35,79,26.7,131,10.1,2,0.84,0.14
"Jodie,Meeks",Sac,26,82,27.7,206,10.9,6.7,0.59,0.74
"Jamario,Moon",Den,25,79,18,186,9.1,4.8,0.38,1.97
"Jameer,Nelson",Cha,26,52,13.5,100,4,3.8,0.35,0.52
"Joakim,Noah",Bos,26,81,27.6,265,12.8,3.9,0.69,0.84
"Jermaine,O'Neal",Cha,23,77,19.4,103,6.1,1.9,0.61,0.19
"Jannero,Pargo",Atl,24,80,32.7,226,14.6,2.3,1.46,0.35
"Jeff,Pendergraph",Hou,24,82,32,275,13.4,3,1.61,0.35
"Johan,Petro",Cle,26,25,17.7,41,7.8,1.3,0.48,0.08
"James,Posey",Phi,26,14,14.6,21,4.9,1.2,0.07,0
"Josh,Powell",Pho,34,55,18.5,115,8.3,5.3,0.35,1.42
"Joel,Przybilla",Bro,38,37,14.5,23,4.9,0.9,0.19,0.11
"J.J.,Redick",Mem,24,80,21.9,122,8.7,2.2,0.74,0.23
"Jason,Richardson",Sac,23,69,13.8,99,7.2,1,0.45,0.04
"John,Salmons",Chi,23,82,25.8,233,8.6,4,0.95,0.38
"John,Salmons",Chi,27,66,36.3,237,11.9,11.1,1.18,2.14
"James,Singleton",Lal,25,78,21.1,96,7.9,2.2,0.74,0.06
"James,Singleton",Bro,31,72,36.5,161,16.3,3,0.68,0.19
"Jason,Smith",Atl,27,31,11.1,12,3.5,3.6,0.32,0.29
"Josh,Smith",Mil,22,63,13,105,6,4.7,0.3,0.67
"J.R.,Smith",Atl,21,61,14.6,70,6.1,1.5,0.2,0.16
"Jerry,Stackhouse",Tor,29,63,12.9,25,5.3,1,0.37,0.02
"Jermaine,Taylor",Sac,33,76,29.8,110,8.8,2.7,0.67,0.33
"Jeff,Teague",Was,22,49,32.5,306,18.5,4,1.31,0.76
"Jason,Terry",Det,25,49,18,88,7.7,3.8,0.78,0.16
"Jason,Thompson",Tor,20,62,23.7,185,8.9,6,0.26,1.26
"Jamaal,Tinsley",Was,24,43,26,106,13.2,3.1,0.63,0.12
"Jason,Williams",Bos,24,27,21.4,53,9.1,2.7,0.44,0.07
"Jawad,Williams",Lal,25,29,15.6,61,6.7,5.7,0.28,0.66
"Julian,Wright",Min,28,74,22.9,134,11.3,2.8,0.43,0.01
"Joe,Smith",Tor,31,45,28.1,52,11.1,2.4,0.62,0.13
"Kelenna,Azubuike",Det,31,28,31.4,28,11.6,2.5,1.07,0.07
"Keith,Bogans",Min,32,11,18.8,12,6.7,3.3,0.91,0.27
"Kwame,Brown",Orl,25,41,16.5,30,3.9,3.3,0.24,0.29
"Kobe,Bryant",Cha,25,26,30.7,55,9.3,7.2,0.85,0.58
"Keyon,Dooling",Atl,27,76,35.1,321,17.5,8.4,1.24,1.79
"Kevin,Durant",Phi,22,81,36.9,250,17.4,4.1,1.56,0.47
"Kyrylo,Fesenko",San,21,58,30.7,126,11.9,6,1.67,0.55
"Kevin,Garnett",Bro,32,74,18.8,17,4.2,1.6,0.38,0.05
"Kirk,Hinrich",Cha,22,82,34.7,371,17.7,3.5,1.95,0.38
"Kris,Humphries",Pho,21,48,14.4,14,3,0.9,0.46,0.08
"Kris,Humphries",Okc,28,78,24.8,72,4.3,6,0.55,1.06
"Kyle,Korver",Den,23,80,27.8,266,11.5,9.2,1.01,1.05
"Kevin,Love",Nyk,35,18,23.8,40,7.2,5.2,0.89,0.94
"Kyle,Lowry",Okc,24,81,38.3,750,28.1,7.9,1.43,1.3
"Kenyon,Martin",Bos,36,68,29.5,201,14.8,7.8,1.15,0.91
"Kevin,Martin",Cle,23,32,10.3,15,3,2.4,0.28,0.16
"Kevin,Martin",Min,24,18,34.1,142,18.3,14,0.72,0.5
"Kevin,Ollie",Okc,29,77,27.5,246,14,2.3,0.94,0.1
"Kendrick,Perkins",Was,23,79,21.6,88,9.1,4.4,0.3,0.75
"Kenny,Thomas",Mem,32,7,11.5,7,4.4,0.1,0.14,0
"Kurt,Thomas",Det,21,27,17.4,32,6.1,1.9,0.56,0.15
"Kyle,Weaver",Chi,32,60,29.2,98,7.7,2.6,1.05,0.42
"LaMarcus,Aldridge",Gol,22,82,35.3,157,16.6,3.7,1.05,0.54
"Louis,Amundson",Lal,34,78,38.4,626,27.3,5.6,1.36,0.32
"Leandro,Barbosa",Den,23,81,22.2,104,8,6.9,0.54,1.27
"Luol,Deng",Bro,27,65,18.1,123,5.8,5.6,0.25,0.51
"Luther,Head",Phi,30,22,12,19,1.9,3.4,0.27,0.45
"Larry,Hughes",Atl,31,74,30.3,78,10.9,4,0.95,0.5
"Larry,Hughes",Tor,26,68,29.5,239,11.6,4.7,1.38,0.35
"Lindsey,Hunter",Orl,22,57,11,45,4.1,3.7,0.19,0.46
"LeBron,James",Det,24,82,27.8,124,8.8,4,0.7,0.45
"Luc,Mbah,a,Moute",Cle,20,59,34.5,290,22.5,3.7,1.51,0.36
"Lamar,Odom",Lac,33,82,19.5,42,4,5.9,0.84,0.71
"Leon,Powe",Por,27,74,37.5,348,21.1,9.1,0.84,1.23
"Luke,Ridnour",Ind,22,78,29,115,8.8,3.9,1.05,0.21
"Luis,Scola",Nor,24,59,10.8,59,2.5,1.9,0.19,0.12
"Luke,Walton",Tor,24,51,20.1,53,4.7,4.1,0.63,0.16
"Lou,Williams",Mil,24,71,27.1,136,9.8,9.5,0.75,2.8
"Malik,Allen",Phi,23,79,20.9,60,5.8,5,0.3,0.7
"Marcus,Banks",Bos,30,41,12.3,41,5.2,1.1,0.41,0.15
"Matt,Barnes",Mia,28,76,37.6,536,26.8,8,1.7,0.88
"Michael,Beasley",Tor,28,20,18.6,38,7.4,2.6,0.2,0.1
"Marco,Belinelli",Nor,30,18,11.4,16,2.4,3.2,0.5,0.33
"Mike,Bibby",Atl,26,39,28.5,121,14.1,2.1,1.13,0.26
"Matt,Bonner",Mil,26,58,22.7,126,6.7,4.4,0.72,0.24
"Marcus,Camby",Pho,32,82,26.5,230,12.8,6.6,0.82,0.43
"Marcus,Camby",Por,23,62,11.6,13,3.9,2.2,0.23,0.08
"Mario,Chalmers",Min,31,82,30,164,11.5,2.5,1,0.18
"Mardy,Collins",Cle,32,50,17,20,3.4,2.9,0.84,0.26
"Mike,Conley",Chi,27,75,38.2,282,16.5,6.3,1.08,0.43
"Marquis,Daniels",Min,22,16,17.9,20,4.9,2.4,0.75,0.38
"Mike,Dunleavy",San,35,60,22.8,206,11.8,3.4,1.33,0.22
"Monta,Ellis",Mem,28,80,34.8,316,14.1,7.8,1,1.74
"Maurice,Evans",Pho,28,61,30.6,138,11.1,8.5,0.66,1.61
"Michael,Finley",Chi,26,73,25.4,168,9.6,1.9,0.6,0.08
"Michael,Finley",Nyk,38,24,10.2,19,1.8,3.3,0.29,0.58
"Marc,Gasol",Hou,23,54,21.2,75,8.6,4.1,0.5,0.3
"Manu,Ginobili",Pho,23,23,15.9,42,5.7,2.5,0.78,0.17
"Marcin,Gortat",Sac,25,72,23.8,126,12.7,2.5,0.85,0.06
"Mike,Miller",Mia,26,77,26.7,112,8.6,2.2,1.53,0.16
"Mikki,Moore",Pho,23,82,22.2,127,8.2,4.8,0.94,0.78
"Mehmet,Okur",Mil,32,59,18.2,54,5.5,2.5,0.86,0.17
"Morris,Peterson",Mem,25,40,14.3,67,6.6,4.7,0.25,0.68
"Mickael,Pietrus",Cle,25,39,18.3,108,10.2,5.1,0.36,0.67
"Micheal,Redd",Bro,24,73,12.3,94,5.4,1.4,0.47,0.22
"Marreese,Speights",Was,26,76,28.8,198,11.4,3.9,0.66,0.22
"Marcus,Thornton",Uta,26,74,23.3,105,7.4,3.6,0.51,0.5
"Martell,Webster",Lac,32,80,25.5,117,10.3,4.6,1.03,0.79
"Marcus,Williams",San,32,68,13.1,15,4.2,1.9,0.25,0.26
"Marvin,Williams",Orl,19,76,25.8,128,8.2,4.4,1.16,0.82
"Mo,Williams",Lal,33,75,33.5,169,12.4,5,1.63,0.56
"Nicolas,Batum",Por,20,69,17.3,89,5.5,3.7,0.16,0.55
"Nick,Collison",Pho,24,75,20.5,126,10.1,3.8,0.41,0.45
"Nene,Hilario",Cha,19,78,25.7,187,9,5.8,0.69,0.9
"Nathan,Jawai",Min,29,36,17.7,24,5,2.8,0.44,0.11
"Nenad,Krstic",Tor,30,19,20.1,18,5.3,1.9,0.63,0.32
"Nazr,Mohammed",Mem,25,80,34.2,282,14.6,2.8,2.15,0.3
"Nate,Robinson",Mil,32,75,25.7,128,10.5,3.9,0.52,0.47
"Nate,Robinson",Dal,37,45,18.9,29,6.1,1.6,0.56,0.07
"Nick,Young",Mia,32,59,15.1,11,4.8,2.7,0.36,0.07
"Omri,Casspi",Uta,29,45,30.6,79,12.8,2.4,1,0.2
"O.J.,Mayo",Mil,27,82,37.3,374,19.2,3.9,2.06,0.44
"Oleksiy,Pecherov",San,25,72,12.6,44,3.8,1.9,0.57,0.08
"Pau,Gasol",Chi,28,82,25,169,13.1,2.2,1.04,0.12
"Paul,Millsap",Chi,35,63,10.8,47,2.6,3.1,0.33,0.49
"Paul,Pierce",C,61,27,55.6,0.729,6.7,13.7,0.61,9.3
"Peja,Stojakovic",Okc,32,81,19.3,78,5.1,4.1,0.63,0.37
"Quentin,Richardson",Phi,27,59,23.7,128,10.6,2.2,0.59,0.24
"Quinton,Ross",Por,24,73,38.3,210,14.3,5.6,1.25,1.14
"Quinton,Ross",Min,27,62,31.4,324,16.3,8.8,0.69,0.81
"Ray,Allen",Orl,22,77,33,126,13.1,11.9,0.79,1.03
"Rafer,Alston",Mia,24,80,19.7,80,5.6,1.6,0.71,0.09
"Rafer,Alston",Dal,25,82,35.3,233,15.3,3.5,1.13,0.28
"Ryan,Anderson",Hou,26,82,29.8,299,10.1,11.7,0.59,1.06
"Ron,Artest",Cle,24,43,11.5,41,4,2.7,0.58,0.28
"Rodrigue,Beaubois",Ind,23,51,11.9,32,4,2.2,0.2,0.18
"Ronnie,Brewer",Pho,27,79,24,86,6.4,4.4,0.78,0.24
"Rasual,Butler",Nyk,35,78,16,25,3.5,1.8,0.88,0.03
"Rodney,Carney",Hou,24,41,17.2,41,5.6,2.7,0.9,0.51
"Ricky,Davis",San,24,58,11,19,5.1,0.9,0.45,0.07
"Reggie,Evans",Hou,23,47,25.7,49,11.6,4.7,0.38,0.57
"Raymond,Felton",Sac,23,24,22.9,14,8,4.8,0.54,0.54
"Rudy,Fernandez",Lal,32,49,33.6,178,13.7,8.6,0.49,1.24
"Randy,Foye",Ind,22,79,37.4,274,17.4,7.6,1.8,0.63
"Rudy,Gay",Uta,27,78,30.1,356,14.6,7.1,1.31,1.03
"Ryan,Gomes",Bos,35,77,33.2,423,18.6,6.3,1.09,0.39
"Richard,Hamilton",Tor,22,29,11.6,38,4,2.7,0.45,0.52
"Roy,Hibbert",Mem,24,59,20.9,75,6.4,2.2,0.59,0.1
"Ryan,Hollins",Bos,26,38,37.2,93,13.7,5.6,1.84,0.24
"Royal,Ivey",Cha,26,61,26.9,347,14.4,2.8,0.79,0.11
"Richard,Jefferson",Uta,29,82,27,144,10.8,1.5,0.8,0.32
"Rashard,Levis",Mia,33,55,14.2,45,5.2,2.2,0.38,0.25
"Robin,Lopez",Nyk,38,21,13.9,20,7,4,0.62,0.71
"Roger,Mason,Jr.",Mia,37,79,25.6,158,10.9,2.7,0.85,0.19
"Ronald,Murray",Nyk,28,68,33.8,128,13.9,2.9,1.38,0.21
"Ronald,Murray",Bro,32,80,24.4,222,4.5,11.1,0.93,0.16
"Rasho,Nesterovic",Okc,22,70,14,62,5.3,2.4,0.41,0.19
"Ronnie,Price",Chi,34,50,21.4,77,9.8,1.7,0.48,0.1
"Rajon,Rondo",Gol,32,56,10,53,3.1,1.5,0.25,0.13
"Ramon,Sessions",Min,22,57,29.5,264,10.7,4,2.4,0.09
"Rodney,Stuckey",Nor,24,82,25.9,207,11.3,5.6,0.39,1.56
"Ronny,Turiaf",Det,26,76,28.4,272,11.5,2.8,0.67,0.22
"Rasheed,Wallace",Dal,24,45,12,38,4,1.2,0.42,0.09
"Russell,Westbrook",Nor,32,69,17.5,43,5.3,1.9,0.38,0.16
"Reggie,Williams",Nyk,27,46,15.3,39,3.6,2.2,0.74,0.13
"Shane,Battier",Por,29,39,12.8,24,2.7,1.1,0.67,0.08
"Steve,Blake",Lac,30,65,10.6,63,1.9,2.3,0.29,0.54
"Steve,Blake",Ind,26,79,28.5,224,11.9,8.3,0.51,2.63
