Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Brendan,Haywood",Gol,26,65,26.2,82,9.8,3.8,5.7,0.54
"Brendan,Haywood",Dal,24,49,16,82,6.9,3.6,4.9,0.45
"Brandon,Jennings",Dal,32,54,21,96,5.2,6,4.4,0.44
"Brook,Lopez",Cha,22,65,22.3,112,9.3,5,6.2,0.32
"Brad,Miller",Uta,24,56,20.2,136,9.1,2.1,5.6,0.84
"Brandon,Roy",Chi,27,49,23.5,104,9.7,2.1,7.4,0.92
"Brandon,Rush",Nor,28,41,24.2,184,12.5,5.2,6.4,0.32
"Brian,Scalabrine",Chi,30,66,29.3,137,15,8.5,8.5,0.95
"Bobby,Simmons",Mil,29,54,28.3,48,9,3.9,6.1,1.46
"Beno,Udrih",Nyk,27,55,33.9,367,22.6,6.3,9.4,1.15
"Bill,Walker",Lac,31,63,29.5,107,12,3.7,5.1,0.83
"Ben,Wallace",Was,27,17,22.8,19,9.3,3.4,4.7,0.65
"Chris,Andersen",Hou,23,63,28.5,78,9.5,4.7,6.4,1.16
"Carmelo,Anthony",Pho,28,64,25.9,82,10.5,5.9,6.8,0.66
"Carlos,Arroyo",Gol,22,51,17.3,39,5.8,1.3,6.8,0.65
"Chucky,Atkins",Det,27,13,13.6,7,7,3.7,6.9,0.54
"Charlie,Bell",Hou,23,58,22.2,70,9.6,3.7,6.5,0.52
"Chauncey,Billups",Lac,35,20,30.2,95,15,2.5,7,0.45
"Carlos,Boozer",Den,33,32,15,82,5.3,4.6,4.5,0.59
"Chris,Bosh",Mia,27,57,35,279,18,7.9,7.3,0.89
"Corey,Brewer",Orl,29,63,19.3,21,3.8,1.6,5.1,0.56
"Chase,Budinger",Nor,29,47,29,107,13.1,7.7,8.2,0.53
"Caron,Butler",Lac,26,60,36.2,302,19.8,3.6,9.6,2.52
"Caron,Butler",Was,22,66,21.5,44,4.6,3.5,4.2,1.06
"Carlos,Delfino",Bos,29,28,17,39,5.4,4.4,5,0.39
"Chris,Douglas-Roberts",Sac,28,54,19,39,3.2,4.3,5.6,0.67
"Chris,Duhon",Den,25,59,21.6,130,8.9,2.5,6,1.22
"Channing,Frye",Cha,32,32,27.3,208,15,3.9,6,0.72
"Chuck,Hayes",Cha,22,38,10.9,60,3.9,0.9,5.4,0.13
"Chris,Hunter",Hou,26,58,30.1,86,11.4,2.7,4.8,1.17
"Chris,Kaman",Cha,24,48,29.1,120,11.1,2.3,7.5,0.75
"Carl,Landry",Cha,31,58,18.8,61,6.8,3.6,5.7,0.29
"Carl,Landry",Okc,24,57,17.1,22,5.5,2.1,3.5,0.39
"Courtney,Lee",Ind,31,65,16,99,5.3,1.8,5.3,0.35
"Corey,Maggette",Nor,23,15,13.7,9,4.5,1.5,4.9,0.47
"Cartier,Martin",Det,31,60,15.2,54,3.2,1.7,4.1,0.47
"C.J.,Miles",Cle,25,35,26,43,7.5,2.9,5.6,0.74
"Chris,Paul",San,24,66,22.8,100,9.1,3.5,6.1,0.88
"Chris,Quinn",Orl,21,16,11.4,25,2.8,2.4,4.4,0.5
"Chris,Richard",Den,23,43,31.3,209,14.6,4.7,7.3,0.98
"Craig,Smith",Ind,28,62,33.1,291,18.7,5,6.7,1
"Charlie,Villanueva",Mem,24,64,17.4,69,5.2,3.8,5.2,0.66
"C.J.,Watson",Min,26,29,16.1,37,4.6,3.3,5.2,0.31
"Chris,Wilcox",Ind,24,60,31.1,153,10.3,3.1,6.9,0.82
"David,Andersen",Gol,28,57,37,280,20.1,9.5,8.8,0.96
"Darrell,Arthur",Ind,31,66,29,176,12.8,6.6,7.8,0.79
"D.J.,Augustin",Lac,23,66,27.1,141,7.4,8.3,3.9,0.45
"DeJuan,Blair",San,22,64,21.1,119,9.5,5.5,7.5,0.92
"Derrick,Brown",Dal,28,44,23.9,70,9.6,2.3,6.9,1.32
"Devin,Brown",Tor,22,63,34.8,331,16.7,3.3,5.5,0.76
"Devin,Brown",Sac,21,64,30.3,373,18.1,11,9,1.45
"DeMarre,Carroll",Uta,25,20,16.2,16,4.8,2.5,5.2,0.6
"Darren,Collison",Lal,37,43,25.4,53,5.9,2.1,5.4,0.93
"Daequan,Cook",Okc,37,20,20.1,14,4.9,1.5,4.3,0.55
"Dante,Cunningham",Njn,27,55,36.1,305,21,3.3,9.4,1.22
"DeMar,DeRozan",Cha,24,65,22,141,8.1,3.6,5.6,0.74
"DeSagana,Diop",Uta,20,65,21,194,8.8,6.5,6.5,0.57
"Derek,Fisher",Chi,23,39,35.1,239,21.8,3.4,9.5,0.9
"Dan,Gadzuric",Min,20,66,21.2,195,8.8,4.7,5.5,0.45
"Danilo,Gallinari",Cha,29,27,11.9,6,1.1,3.1,4.9,0.22
"Devean,George",Njn,30,51,18.6,16,2.9,2,3.6,0.37
"Daniel,Gibson",Lal,22,24,16.3,35,4,2.3,4.1,0.46
"Drew,Gooden",Uta,28,63,27.4,209,11.3,1.8,6.8,1.02
"Drew,Gooden",Dal,33,62,33.3,355,21.6,6.8,8.2,0.68
"Danny,Granger",Gol,26,64,17.4,53,3.5,3.8,6.5,0.69
"Donte,Greene",Cle,23,25,24.2,26,6.6,2.4,6.4,0.4
"Devin,Harris",Sac,23,53,14.5,55,5.3,2.5,5.5,0.34
"Dwight,Howard",Gol,26,61,26.8,98,10.3,4.6,6.2,0.95
"Dahntay,Jones",Mil,30,56,26,208,13.7,6.5,9.4,0.8
"DeAndre,Jordan",Orl,26,54,38.1,572,20.6,14.5,8.7,1.5
"David,Lee",Mia,30,49,33,297,22.1,4.8,9.5,1.67
"Darko,Milicic",Orl,23,45,12.2,29,2.7,2.8,4.7,0.27
"Dirk,Nowitzki",Uta,32,50,20.4,46,3,2.4,6.2,1.08
"Derrick,Rose",Tor,22,66,23.1,106,6.3,6.6,5.8,0.61
"Darius,Songaila",Cha,35,22,12.1,4,2.6,2.3,4.8,0.86
"DeShawn,Stevenson",Gol,24,38,21.5,64,5.5,3.9,4.8,0.66
"DeShawn,Stevenson",Mil,24,23,19.9,50,5.7,4.7,6.2,0.65
"DaJuan,Summers",Phi,32,60,28.7,120,11,7.2,7,0.98
"Dwyane,Wade",Nor,29,27,28.8,74,9.9,7.9,5.7,0.59
"David,West",Uta,19,66,13.1,105,4.6,4.2,3.8,0.27
"Delonte,West",Lac,22,40,11.4,44,3.3,1.6,7.3,0.78
"D.J.,White",Mil,24,60,27.4,183,13,8.8,7.5,0.7
"Damien,Wilkins",Phi,23,65,26.2,108,9.4,5.8,8.2,0.62
"Deron,Williams",Sac,31,49,16.1,30,4.8,2,4.5,0.73
"Dorell,Wright",Tor,23,48,14.7,91,6.6,2.1,6.7,0.5
"Earl,Boykins",San,24,56,21.4,64,9.9,2.1,6.6,0.48
"Elton,Brand",Ind,25,50,25.3,117,9.6,3,6.9,0.84
"Erick,Dampier",Cha,24,55,33.1,204,15.1,4.1,6.3,0.89
"Eric,Gordon",Njn,28,31,25,65,12.9,3.5,5.9,0.9
"Eddie,House",Por,29,42,35.5,161,13.3,6.6,7,1.48
"Eddie,House",Njn,29,16,35.6,64,15.2,6.8,7.7,1.44
"Ersan,Ilyasova",Mem,30,17,12.2,10,4.2,1.1,5.6,0.65
"Eric,Maynor",Orl,26,61,23.2,167,9.3,5.4,5.9,0.7
"Eric,Maynor",Hou,25,66,26.4,190,11.7,2.5,8.1,1.29
"Eduardo,Najera",Uta,21,66,30.3,232,11.8,3.5,6.7,0.8
"Eduardo,Najera",Pho,39,49,27.9,107,10.2,3.5,6.1,0.84
"Emeka,Okafor",Det,21,66,31.4,272,15.4,9.7,8.9,1.27
"Etan,Thomas",Bos,26,55,13.7,41,2.9,3.2,4.9,0.67
"Earl,Watson",Nor,24,66,25.6,117,8.9,2.6,7.8,0.91
"Francisco,Garcia",Nor,26,54,20,63,5.9,4.9,6.9,0.98
"Fabricio,Oberto",Pho,29,35,14.2,99,6.4,2.6,6.9,0.23
"Gilbert,Arenas",Orl,32,53,31,95,10.9,3.8,7.3,0.85
"Glen,Davis",Dal,25,61,18.5,147,5.8,4.7,3.8,0.62
"Goran,Dragic",Nyk,21,59,28.7,109,9.5,3.2,6.1,1.71
"Gerald,Henderson",Sac,22,65,25.3,185,11.5,2.6,7.9,0.82
"George,Hill",Atl,27,56,16.5,100,6.4,4,6,0.77
"Grant,Hill",Sac,23,35,18.2,58,4.8,5.1,5.4,0.51
"Greg,Oden",Por,23,19,31.4,76,15.1,8.3,6.8,0.63
"Garrett,Temple",Orl,27,65,27,157,11.6,2.3,6,0.42
"Gerald,Wallace",Nyk,26,35,27.4,55,12.5,3.9,7.1,1.54
"Hilton,Armstrong",Uta,33,37,13.5,17,3.7,1.2,7.3,0.46
"Hasheem,Thabeet",Por,31,60,26.7,206,14,2,6.7,0.92
"Hedo,Turkoglu",Tor,33,34,10.8,27,1.2,3.3,3.4,0.12
"Hakim,Warrick",Orl,29,57,29.7,88,11.9,3.2,8.1,0.68
"Hakim,Warrick",San,22,51,11.6,52,3.7,1.5,5.7,0.16
"Ime,Udoka",Okc,24,62,31.2,369,16.8,4.1,8.1,1
"Joel,Anthony",Tor,24,62,25.5,118,9.5,4.8,7.2,1.18
"Jose,Barea",Mia,31,51,12.9,30,3.6,1,3.5,0.33
"Jerryd,Bayless",Was,30,12,21.6,15,8.2,6.8,7.7,0.75
"Jonathan,Bender",Was,21,57,18.7,62,4.7,4.4,5.5,0.68
"Josh,Boone",Atl,32,50,13.2,20,5.7,1.5,7.7,0.4
"Jon,Brockman",Pho,26,65,30.9,166,12.7,4.6,6.1,0.77
"Jose,Calderon",Nyk,30,39,18.5,72,4.4,3.9,5,0.74
"Jamal,Crawford",Nor,28,45,33.8,148,15.6,3.9,8.6,0.69
"Jared,Dudley",Atl,33,30,10.1,15,1.3,1.6,3.4,0.13
"Jordan,Farmar",Dal,38,48,28.5,28,6.2,4.1,7.3,1.71
"Jonny,Flynn",Det,28,65,22.3,106,6.5,5.1,4.9,0.49
"Jeff,Foster",Orl,30,54,29.3,69,11.6,3.6,6,0.98
"J.R.,Giddens",Nor,25,40,23.5,47,9.9,4.9,6,0.53
"Joey,Graham",Dal,34,63,31.6,111,15.1,2.4,6.4,1.16
"Jeff,Green",Sac,25,64,25.7,181,9.1,6.9,6.6,0.66
"James,Harden",Was,24,41,27.3,116,11.9,8.8,5.8,0.61
"Jarvis,Hayes",Den,24,20,20.3,51,10.3,5.8,5.2,0.5
"J.J.,Hickson",Ind,34,11,12.6,9,2.3,3.8,4.8,0.73
"Jordan,Hill",Atl,23,66,32.9,185,12.6,2.4,6.4,1.61
"Jordan,Hill",Nyk,23,35,26.6,183,14.6,3.1,9.8,1.57
"Jrue,Holiday",Gol,20,42,13.3,52,4.9,3.3,5.6,0.38
"Josh,Howard",Bos,33,25,22.6,31,5,5.4,3.9,0.32
"Juwan,Howard",Tor,23,31,22.5,88,11.4,2.1,8,0.77
"Jarrett,Jack",Sac,22,61,18.4,48,7.6,1.2,5.5,0.48
"Jared,Jeffries",Chi,26,64,30.2,206,10.2,9.8,8.3,0.64
"Jared,Jeffries",Phi,24,66,24.7,85,8.4,2.4,4.1,0.61
"Jonas,Jerebko",Atl,30,58,35.2,175,18.6,3.6,7.3,0.78
"James,Johnson",Mia,29,64,20.9,71,3.4,3.9,2.1,0.56
"Joe,Johnson",Por,31,27,16.4,18,2,5.1,3.1,0.15
"James,Jones",Njn,25,59,15.5,37,4.2,3.8,6,0.36
"Jason,Kapono",Chi,29,49,14.6,32,7.5,1.6,8.2,0.39
"Jason,Kidd",Sac,32,46,27,45,7.5,2.9,5.2,0.83
"Jamaal,Magloire",Was,21,66,36,402,16.3,4.5,9.3,1.42
"Jason,Maxiell",Mil,22,46,11.9,28,4.7,2.6,6.1,0.3
"JaVale,McGee",Det,24,64,22.8,124,8.7,4.8,5.4,0.64
"Josh,McRoberts",Hou,22,11,12.1,14,3.4,0.7,6,0.27
"Jodie,Meeks",Por,22,18,15.4,25,5.2,1.7,8.4,0.17
"Jodie,Meeks",Was,23,64,27.2,203,14.7,2.6,7.1,0.92
"Jamario,Moon",Njn,25,39,21.1,63,10.4,1.6,7.2,0.62
"Jameer,Nelson",Hou,24,32,14.5,39,5,4.8,5.9,0.28
"Joakim,Noah",Njn,21,43,14.6,66,4.6,3.6,4.7,0.49
"Jermaine,O'Neal",Min,27,41,25,98,11.3,2.8,9,0.51
"Jannero,Pargo",Tor,30,53,33.7,68,10.5,3,7.7,0.89
"Jeff,Pendergraph",Pho,28,34,14.3,2,2.9,2.8,5.6,0.41
"Johan,Petro",Nyk,22,37,14.4,26,4.4,3.9,4.8,0.62
"James,Posey",Uta,31,42,22.4,93,8.6,3.5,5.7,0.71
"Josh,Powell",Lal,24,50,14.2,36,2.8,3.4,6,0.3
"Joel,Przybilla",Atl,26,65,35,314,18.6,9.5,10.1,1.42
"J.J.,Redick",Phi,21,65,33.6,120,13.5,3.3,7,1.58
"Jason,Richardson",San,20,64,23.8,88,7.9,5.1,5.9,1.33
"John,Salmons",Cha,21,66,27,213,12.1,3.5,8.5,0.91
"John,Salmons",Okc,27,65,26.6,112,5.1,6.6,5.2,0.38
"James,Singleton",Den,22,46,22.4,164,10.2,7.7,7.1,0.74
"James,Singleton",Por,34,53,15,20,3,3.5,5.6,0.45
"Jason,Smith",Lac,34,41,22.2,52,5.1,4.3,3.7,1.05
"Josh,Smith",Okc,23,66,38.4,501,28,8,9.6,1.33
"J.R.,Smith",Bos,35,60,30.9,189,15.8,8.2,9.3,0.95
"Jerry,Stackhouse",Min,23,55,38.8,460,26,13.4,9.1,0.85
"Jermaine,Taylor",Hou,28,41,31.1,181,16.8,2.7,6.4,0.71
"Jeff,Teague",Was,22,57,20.4,70,7.9,4.9,5.6,0.33
"Jason,Terry",Bos,31,46,14.1,31,4,0.8,4.3,0.28
"Jason,Thompson",Atl,31,48,25.6,32,6.6,2.1,5.3,0.79
"Jamaal,Tinsley",Gol,21,66,24.1,91,12.5,2.4,6.5,0.74
"Jason,Williams",Lal,33,58,38.3,451,27.9,5.4,9.2,1.19
"Jawad,Williams",Den,23,48,16.3,55,5.5,5.4,5.1,0.5
"Julian,Wright",Njn,26,62,34.6,278,13.8,11,7.1,0.81
"Joe,Smith",Chi,30,65,22.4,66,8.1,2.4,5.8,0.55
"Kelenna,Azubuike",Hou,25,47,31.9,198,14.3,4.6,9.5,1.55
"Keith,Bogans",Cle,19,51,30.3,196,18.5,3.7,9.5,1.06
"Kwame,Brown",Mil,25,43,23.3,103,7.7,5.3,5.2,0.93
"Kobe,Bryant",Dal,32,50,20.3,98,6.6,4.2,7.1,0.4
"Keyon,Dooling",Por,26,55,36.1,274,21.7,8,8.3,0.93
"Kevin,Durant",Ind,21,42,10.3,17,2.5,1.3,5.9,0.5
"Kyrylo,Fesenko",Nor,23,42,14.8,62,4,3,4.1,0.24
"Kevin,Garnett",Nyk,23,66,28.5,137,8.8,4.2,6.4,1.2
"Kirk,Hinrich",Mil,22,52,12.1,38,3.6,3.1,6.2,0.62
"Kris,Humphries",Phi,22,41,15,14,4.1,4.2,6.4,0.32
"Kris,Humphries",Tor,29,42,22.3,91,12.2,1.9,5.9,0.86
"Kyle,Korver",Ind,29,22,19.6,33,8.9,2.2,6.3,0.91
"Kevin,Love",Mia,27,62,37.3,502,27.1,7.9,11.8,1.85
"Kyle,Lowry",Cle,27,13,24,38,12.7,3.5,8.2,1.08
"Kenyon,Martin",Tor,27,49,21.4,100,9.7,4.1,6.2,0.47
"Kevin,Martin",Phi,25,64,26.1,292,14.9,2.4,7.7,0.83
"Kevin,Martin",Ind,22,60,12.3,82,3.6,3.7,4.5,0.45
"Kevin,Ollie",Hou,31,66,31.1,198,15.5,6.5,7.7,0.53
"Kendrick,Perkins",Por,22,40,13.2,22,5.1,2.4,5.1,0.25
"Kenny,Thomas",Cle,24,21,10.8,12,2.9,2.5,4.8,0.29
"Kurt,Thomas",Min,30,53,32.8,119,12.1,2.7,6.6,1.06
"Kyle,Weaver",Cle,31,21,14,0,2,1.7,4.8,0.14
"LaMarcus,Aldridge",Chi,26,54,39.2,165,15.3,6.5,6.7,1.04
"Louis,Amundson",Min,21,19,12.6,17,3.3,1.4,6.2,0.42
"Leandro,Barbosa",Cle,22,26,17.3,59,6.7,2.7,6.4,0.5
"Luol,Deng",San,34,34,23.1,101,12.9,3.4,10,0.71
"Luther,Head",Mem,26,65,36.3,317,14.6,8.9,8.1,0.95
"Larry,Hughes",Pho,27,66,31.8,251,15.4,10,6.5,0.73
"Larry,Hughes",Nor,25,66,29.6,129,11.8,2.6,4.8,0.73
"Lindsey,Hunter",Por,37,40,22.1,38,3.8,8.9,7.2,0.83
"LeBron,James",Hou,37,19,23.9,26,7.1,9.3,8.1,0.89
"Luc,Mbah,a,Moute",Sac,24,51,34.7,163,18.7,3.7,5.9,1.37
"Lamar,Odom",Mia,25,64,28.3,101,9.8,2.7,6.4,1.52
"Leon,Powe",Pho,22,63,19.3,106,7.4,4.4,6.6,0.65
"Luke,Ridnour",Bos,31,38,12.5,23,3.2,1.7,6,0.55
"Luis,Scola",Mem,24,60,22.2,109,8.8,6.2,6.3,0.35
"Luke,Walton",Njn,22,56,29.2,148,12.6,3.6,6.4,0.93
"Lou,Williams",Atl,25,58,26.2,150,10.4,5.1,6.3,0.84
"Malik,Allen",Lal,31,63,22.7,128,7.8,5.5,7.8,0.56
"Marcus,Banks",San,31,65,20.2,21,6.6,3.3,5.3,0.23
"Matt,Barnes",Cha,31,53,11.1,38,2.7,1.1,4.6,0.3
"Michael,Beasley",Was,33,24,14.1,13,4.9,1,3.6,0.58
"Marco,Belinelli",Njn,32,17,26.5,5,7.6,4.8,6.1,0.53
"Mike,Bibby",Lal,32,64,26.7,115,7.7,3.4,5.8,1.09
"Matt,Bonner",Min,23,47,22.9,95,11.5,4.4,6.5,0.38
"Marcus,Camby",Pho,32,51,14.9,111,8.2,1.5,5.2,0.25
"Marcus,Camby",Bos,29,42,21.7,31,6.9,3.1,4.3,0.5
"Mario,Chalmers",Gol,25,18,12.2,12,3,2.6,3.8,0.17
"Mardy,Collins",Nyk,33,39,14.1,8,2.6,1.5,5.7,0.54
"Mike,Conley",Mem,24,62,34.9,158,12.7,2.5,6.8,2.18
"Marquis,Daniels",Mil,31,55,26.1,143,12.3,3.7,7,0.51
"Mike,Dunleavy",Chi,36,11,10.8,8,4.8,0.9,8.3,0.36
"Monta,Ellis",Mia,31,39,19.1,5,6.1,3.3,5.9,0.38
"Maurice,Evans",Lac,29,51,28.1,76,12.9,1.9,6,0.96
"Michael,Finley",Gol,26,37,36.7,186,21.9,3.4,8.3,1.51
"Michael,Finley",Mil,26,21,35.8,89,17.6,3.5,8,1.38
"Marc,Gasol",Min,25,47,24,72,6.9,3.6,4.7,0.66
"Manu,Ginobili",Gol,27,51,23.2,113,11.2,2,8,1.16
"Marcin,Gortat",Okc,34,63,10.8,23,2.7,2.7,4.2,0.32
"Mike,Miller",Den,29,28,29.3,133,13.4,7.4,8.2,1.29
"Mikki,Moore",Was,29,11,25.6,35,14.5,7.5,8.9,0.55
"Mehmet,Okur",Okc,31,63,20.6,62,4.5,4.3,5.7,0.52
"Morris,Peterson",Was,26,40,30.1,130,16.6,2.4,4.8,0.75
"Mickael,Pietrus",Lac,26,22,23.4,39,9.7,1.6,3.4,0.64
"Micheal,Redd",Por,23,59,30.1,159,13.9,4.6,5.9,0.97
"Marreese,Speights",Min,26,47,26.7,187,13.9,7.4,6.2,0.62
"Marcus,Thornton",Phi,21,51,15.7,34,5.5,4.8,6.4,0.39
"Martell,Webster",Por,23,44,12.1,28,3.8,1.3,6.3,0.41
"Marcus,Williams",Mia,23,65,19.2,85,6.8,1.4,5.6,0.68
"Marvin,Williams",Mem,24,66,26.6,172,12.6,3.2,7.1,1.09
"Mo,Williams",Chi,25,66,14.5,103,3.1,5.3,5.6,0.47
"Nicolas,Batum",Cle,23,65,20.4,108,7.1,3.5,5.7,0.57
"Nick,Collison",San,23,16,16.1,15,10.3,1.8,8.8,0.63
"Nene,Hilario",Hou,22,64,23,57,7.7,4.5,5.3,0.42
"Nathan,Jawai",Lal,31,65,37.2,261,17.4,10.4,9.4,0.57
"Nenad,Krstic",Ind,21,66,29.5,182,12.1,5.6,7.4,1.64
"Nazr,Mohammed",Uta,26,64,32.6,255,16.6,8.8,8.5,1.84
"Nate,Robinson",Bos,34,61,33.8,344,19.4,5.2,9.1,1.15
"Nate,Robinson",Orl,31,48,17.9,30,4.5,2.6,4.7,0.58
"Nick,Young",Mem,23,64,15.4,53,4.2,2,3.9,0.42
"Omri,Casspi",Uta,35,34,23.2,25,6.4,1.4,3.7,0.38
"O.J.,Mayo",Bos,25,53,36.7,181,11.9,4.8,9.5,1.79
"Oleksiy,Pecherov",Cle,25,41,24.3,147,10.5,3.1,9.1,0.66
"Pau,Gasol",Lal,25,23,30.2,101,12.7,3.8,8.9,0.74
"Paul,Millsap",Lac,28,65,25.7,85,11,2.1,5.8,0.71
"Paul,Pierce",Was,32,28,25.8,37,7.8,3.9,4.8,0.82
"Peja,Stojakovic",Tor,32,34,13.2,12,3.2,1.9,4.7,0.21
"Quentin,Richardson",Bos,36,46,33.8,106,14.2,3.1,5.6,1.07
"Quinton,Ross",Por,27,60,31.6,124,11.4,2.5,7.2,1.3
"Quinton,Ross",Lac,31,56,13.6,71,1.9,4.8,4.1,0.55
"Ray,Allen",Okc,21,45,11,29,3.1,1.2,6.6,0.56
"Rafer,Alston",Cha,25,33,22.4,40,8.3,2.8,6.2,0.61
"Rafer,Alston",Chi,33,28,24.7,37,11.6,2.4,7.1,0.43
"Ryan,Anderson",San,31,41,28.3,50,9.2,3.5,4.9,0.61
"Ron,Artest",Gol,31,22,26.2,35,9,3.5,5.5,0.55
"Rodrigue,Beaubois",Min,21,41,34,157,10.6,4.2,8.4,2.22
"Ronnie,Brewer",Pho,23,64,13.8,140,5.4,3.3,5.1,0.28
"Rasual,Butler",Det,25,55,29.7,320,14.8,2.6,7.1,0.8
"Rodney,Carney",Dal,24,53,21.5,69,8.9,2.8,7.7,1.06
"Ricky,Davis",Was,31,52,13.2,27,5.5,1.3,5.6,0.25
"Reggie,Evans",Chi,26,66,24.6,100,6.9,3.5,6,1.08
"Raymond,Felton",Pho,28,36,14.2,25,3.6,1.6,6.3,0.94
"Rudy,Fernandez",Mia,29,13,16.8,22,3.5,4.5,4.4,0.62
"Randy,Foye",Ind,25,65,29.6,239,12.8,8.8,7.8,0.51
"Rudy,Gay",Okc,30,34,10.2,8,2.1,0.7,3,0.41
"Ryan,Gomes",Den,26,31,22.7,43,8.6,2.1,6.2,1
"Richard,Hamilton",Mem,25,65,37.1,263,19,6.4,7.1,1.46
"Roy,Hibbert",Okc,23,66,35.1,413,23.6,4.6,9.6,1.7
"Ryan,Hollins",Orl,23,61,32,171,16.1,7.7,6,0.82
"Royal,Ivey",Lac,29,32,13.1,11,2.3,1.9,3.7,0.5
"Richard,Jefferson",Cle,27,24,14.9,55,3.7,2.3,3.7,0.17
"Rashard,Levis",Bos,27,15,10.5,20,2.8,1.7,3.7,0.07
"Robin,Lopez",Mem,26,21,11.2,12,3.5,2,5,0.52
"Roger,Mason,Jr.",Cle,22,54,15.1,117,5.4,3.4,5.1,0.37
"Ronald,Murray",Hou,30,65,22,113,7.5,7,5.4,0.57
"Ronald,Murray",Bos,28,45,11.5,8,2.7,1.6,4.2,0.44
"Rasho,Nesterovic",Pho,26,60,14.7,67,6.1,1.5,7.5,0.68
"Ronnie,Price",Cle,25,28,11.7,41,3.5,2.6,4.8,0.36
"Rajon,Rondo",Okc,22,66,27,118,9.1,7.5,4.5,0.5
"Ramon,Sessions",Mia,33,65,22.9,37,4.8,2.4,4.3,0.98
"Rodney,Stuckey",Pho,26,59,23.5,99,11,2.6,5.5,0.75
"Ronny,Turiaf",Mil,26,58,18.6,79,5.5,2.1,6.2,0.47
"Rasheed,Wallace",Dal,33,63,30.3,93,10.6,7.4,7.2,1.08
"Russell,Westbrook",Njn,26,25,20.4,11,4.5,2.7,3.8,0.4
"Reggie,Williams",Njn,28,58,21.8,104,4.6,6,4.7,0.81
"Shane,Battier",Was,21,64,12,59,3.6,1.4,7.2,0.44
"Steve,Blake",Nor,27,11,17.6,18,5.5,3.7,5.2,0.45
"Steve,Blake",Phi,23,37,24.6,55,9.6,7.3,9.2,0.43
