Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Chris,Hunter",Cle,21,44,21.3,28,6.9,2.8,4.7,0.75
"Chris,Kaman",Pho,27,77,32.8,107,12.7,6.7,5.7,0.6
"Carl,Landry",Hou,27,74,27.9,142,7.9,8.1,8,1.08
"Carl,Landry",Por,25,10,10.4,18,2.7,2.7,4.4,0.3
"Courtney,Lee",Lac,28,32,26,57,12.4,7,7.6,0.5
"Corey,Maggette",Nor,27,23,25.4,73,11.8,4.1,4.8,0.43
"Cartier,Martin",Sac,27,53,26.3,215,11.9,4.8,5.7,0.57
"C.J.,Miles",Hou,25,81,21.1,120,8.3,2.6,5.6,0.72
"Chris,Paul",Mil,31,67,20.7,325,12,3.6,7.4,0.31
"Chris,Quinn",Was,25,52,10.2,40,4,1.4,4.7,0.35
"Chris,Richard",Uta,23,78,24.8,196,12.8,3.3,6.7,0.97
"Craig,Smith",Nor,25,80,35.6,384,15.9,4.1,9.7,2.34
"Charlie,Villanueva",Lac,26,48,12,68,5.4,2.4,6.6,0.33
"C.J.,Watson",Det,26,76,21.7,116,11.1,3.9,5.5,0.55
"Chris,Wilcox",Chi,26,82,13.1,93,4.9,1.1,7,0.67
"David,Andersen",Det,28,57,17.2,89,7.4,4.8,7.1,0.53
"Darrell,Arthur",Tor,30,11,13.4,7,5.1,3.1,6.3,0.27
"D.J.,Augustin",Mem,22,80,19.9,134,9.1,4.3,6.1,0.65
"DeJuan,Blair",Cha,23,82,33.4,297,14.4,2.7,7.4,0.66
"Derrick,Brown",San,21,81,21.2,137,8.3,7,7.3,1.17
"Devin,Brown",Cha,23,41,11.7,47,3.7,2,5.9,0.39
"Devin,Brown",Ind,23,79,29.7,232,13.2,2.8,7.7,1.1
"DeMarre,Carroll",Okc,23,43,13.7,20,5.6,1.7,4.9,0.33
"Darren,Collison",Sac,20,81,28.3,402,14.1,8.6,9.5,1.05
"Daequan,Cook",Cha,23,22,23.9,17,9,4,4.7,0.68
"Dante,Cunningham",Por,23,56,19.6,45,5.1,3.4,4.2,0.7
"DeMar,DeRozan",Tor,21,82,34.6,402,17.2,3.8,5.7,1.04
"DeSagana,Diop",Cha,28,16,11,11,1.3,2.5,4,0.25
"Derek,Fisher",Njn,19,56,19.3,116,6.3,5.3,4.9,0.32
"Dan,Gadzuric",Uta,19,22,19.4,57,8.2,5.2,6.7,0.5
"Danilo,Gallinari",Lal,36,82,27.8,103,6.8,1.9,4.7,1.21
"Devean,George",Gol,32,28,10.4,14,2.8,3.1,5.8,0.36
"Daniel,Gibson",Njn,32,14,11.6,13,2.8,3.5,4.3,0.21
"Drew,Gooden",Den,22,14,30.7,101,14.7,5.4,6.5,0.93
"Drew,Gooden",Nyk,22,48,34.6,290,15.9,4.8,5.9,0.79
"Danny,Granger",Cle,24,67,27.7,165,11.7,2.6,6.5,0.72
"Donte,Greene",Mil,29,35,24.4,102,11.3,6.8,7.6,0.6
"Devin,Harris",Ind,27,79,34.8,466,20.5,5.4,7.6,1.13
"Dwight,Howard",Sac,22,69,16.1,65,5.8,2.1,5.1,0.52
"Dahntay,Jones",Njn,27,54,31.7,307,15,2.4,8.2,1.06
"DeAndre,Jordan",Uta,27,17,29.9,95,15.8,2.4,7.9,0.76
"David,Lee",Orl,25,78,37.4,916,22.9,14.1,8.2,1.37
"Darko,Milicic",Njn,23,25,15.9,28,4.4,3.4,5.8,0.64
"Dirk,Nowitzki",Ind,29,45,12.9,90,6.3,1.4,5.7,0.44
"Derrick,Rose",Lac,22,80,25.4,217,7.1,7.2,4.6,0.51
"Darius,Songaila",Gol,27,73,35.9,267,16.5,9.8,8.9,1.04
"DeShawn,Stevenson",Cha,25,52,14.4,39,3.3,3.8,6,0.19
"DeShawn,Stevenson",Min,25,69,24.3,115,8.8,5.2,6.7,0.78
"DaJuan,Summers",Dal,32,73,34.1,443,23,7,8.8,0.51
"Dwyane,Wade",Chi,22,81,37.1,555,25,4.1,10,1.05
"David,West",Dal,29,72,15.9,43,5.3,1.5,5.2,0.29
"Delonte,West",Mia,29,76,37,652,25.5,6.4,9.8,1.47
"D.J.,White",Bos,27,24,18.7,15,5.6,1.6,6.2,0.83
"Damien,Wilkins",Nor,30,70,34.8,327,18.9,7.6,7.9,0.96
"Deron,Williams",Cha,30,24,19.2,54,8.5,4.4,5.9,0.25
"Dorell,Wright",Atl,30,52,12.8,56,3.5,1.7,5.3,0.52
"Earl,Boykins",Njn,26,12,37.8,58,15,4.6,10.2,1.25
"Elton,Brand",Uta,26,53,37.7,354,21.3,3.9,9.9,1.21
"Erick,Dampier",Gol,25,82,38.2,228,16.4,5.3,6.7,1.5
"Eric,Gordon",Pho,29,12,15.1,20,3,3.3,3.8,0.5
"Eddie,House",Lac,20,81,22.5,133,6.7,2.8,7.2,1.14
"Eddie,House",Mil,34,57,14.9,82,7.2,1,7,0.67
"Ersan,Ilyasova",Phi,31,81,34.5,273,15,8.3,6.6,1.14
"Eric,Maynor",Orl,22,33,11.7,37,4.1,2.5,4.3,0.21
"Eric,Maynor",Mia,35,51,15.8,44,2.5,3.5,3.8,0.27
"Eduardo,Najera",Tor,21,65,24.4,128,7.7,7.1,5.2,0.6
"Eduardo,Najera",Lac,22,56,37.5,348,22.3,2.9,7,1.27
"Emeka,Okafor",Mia,32,56,17.3,40,6.5,1.6,5.2,0.57
"Etan,Thomas",Mil,23,60,24.9,104,9.5,6.1,6,0.85
"Earl,Watson",Sac,26,62,13.6,41,4.1,1.1,6.7,0.47
"Francisco,Garcia",Okc,23,82,14.4,59,4.2,1.5,7.3,0.43
"Fabricio,Oberto",Cha,34,31,11.8,11,2.2,1.5,4.3,0.35
"Gilbert,Arenas",Nor,28,72,31.4,258,10.3,9.5,5,0.56
"Glen,Davis",Phi,22,78,22.9,125,7.2,3.9,6.7,0.63
"Goran,Dragic",Gol,23,58,17.6,64,4.1,3.1,4.7,0.38
"Gerald,Henderson",Uta,31,80,19.2,82,4.3,2.3,6.8,0.76
"George,Hill",Sac,30,58,23.7,76,9.7,2.3,5,0.88
"Grant,Hill",Orl,28,49,21.6,86,8,2.4,7.3,0.9
"Greg,Oden",Was,28,21,34.4,67,17.3,3.3,8,1.38
"Garrett,Temple",Bos,25,78,29.3,265,11.7,5.5,5.8,1.01
"Gerald,Wallace",Hou,24,22,17,36,7.7,2.5,8.6,0.64
"Hilton,Armstrong",Pho,24,48,17.6,97,7.4,1.8,7.9,0.75
"Hasheem,Thabeet",Den,25,63,12.3,87,5.2,1.8,6.4,0.37
"Hedo,Turkoglu",Uta,20,72,16.5,97,5.4,1.9,5.4,0.42
"Hakim,Warrick",Cha,23,68,24.2,163,9.6,3,5.8,0.74
"Hakim,Warrick",Pho,38,79,29.9,258,13.4,4.2,7,0.77
"Ime,Udoka",San,24,77,28.2,269,11.4,2.7,6,0.9
"Joel,Anthony",Det,20,80,27.6,233,9.4,7.5,6.5,1.15
"Jose,Barea",San,26,80,20.9,104,9.8,2.5,5.9,0.34
"Jerryd,Bayless",Cha,24,12,10.4,11,3.2,1.3,7.8,0.75
"Jonathan,Bender",Mem,23,70,12.1,44,3.6,1.1,6.8,0.31
"Josh,Boone",Cha,28,48,38.8,284,15.6,8.2,7,1.23
"Jon,Brockman",Por,28,23,35.5,90,15.8,7.7,7.6,2
"Jose,Calderon",Orl,31,56,33.9,120,11.4,4.6,7.6,0.96
"Jamal,Crawford",Pho,31,25,25,36,9.5,4,7.1,0.72
"Jared,Dudley",Pho,28,80,17.5,294,8.4,3.7,6.9,0.4
"Jordan,Farmar",Lac,27,36,12.9,62,5.8,3.2,3.8,0.08
"Jonny,Flynn",Hou,22,28,11.5,10,2.6,1.5,7.2,0.46
"Jeff,Foster",San,21,26,10.9,18,3.6,0.9,4.8,0.12
"J.R.,Giddens",Mia,28,75,19.3,73,2,3.6,2.7,0.13
"Joey,Graham",Dal,26,81,20.4,157,9.5,2,8.2,0.37
"Jeff,Green",Nor,22,11,13.3,17,4.5,1.4,7.5,0.18
"James,Harden",Tor,22,60,22.3,189,10,2.5,8.3,0.6
"Jarvis,Hayes",Mil,24,63,10.5,59,2.2,2.9,4.7,0.22
"J.J.,Hickson",Tor,29,68,30.7,103,9.8,3,8.3,1.19
"Jordan,Hill",Pho,27,54,16.3,59,5,2.9,5.6,0.61
"Jordan,Hill",Atl,31,49,11.9,41,2,2.1,4,0.18
"Jrue,Holiday",Atl,30,76,30,260,14.2,1.7,5.7,0.75
"Josh,Howard",Was,22,26,33.1,78,16.3,3,7,1.38
"Juwan,Howard",Tor,23,43,12,65,3.1,4.4,6.7,0.56
"Jarrett,Jack",Pho,25,82,25.9,218,10.6,3.9,5.8,1.06
"Jared,Jeffries",Njn,24,73,24.4,100,9.6,2.4,8,0.84
"Jared,Jeffries",Min,21,53,18.3,42,5.3,1.5,6.6,0.64
"Jonas,Jerebko",Ind,33,56,16.6,48,3.3,6.3,6.2,0.43
"James,Johnson",Cle,28,39,14.8,36,5.2,2.2,4.8,0.15
"Joe,Johnson",Bos,24,26,23.3,63,9.8,3.3,4.9,0.5
"James,Jones",Okc,24,49,36.8,181,15.2,5.6,5.8,0.82
"Jason,Kapono",Okc,23,82,26.5,343,12.2,3.1,6.5,1.12
"Jason,Kidd",Cle,22,80,28,367,13.8,8.7,7.3,0.6
"Jamaal,Magloire",Hou,23,72,15.4,85,5.6,4.3,5.5,0.19
"Jason,Maxiell",Phi,20,82,35.2,209,14,4,8.1,1.46
"JaVale,McGee",Mia,37,57,10.2,35,2.4,2.1,5,0.16
"Josh,McRoberts",Was,30,18,22.4,47,8.4,4.1,6.3,0.72
"Jodie,Meeks",Nor,27,70,19.2,168,8.5,1.9,7.2,0.57
"Jodie,Meeks",Tor,27,13,26.5,46,10.9,3.2,8.1,1.08
"Jamario,Moon",Nyk,29,24,19.1,19,2,3.4,4,1
"Jameer,Nelson",Atl,29,72,35.3,243,18.2,4,7.9,0.65
"Joakim,Noah",Tor,23,25,27.7,58,9.2,4.7,7.3,1
"Jermaine,O'Neal",Mia,30,81,18.9,72,5.9,2,3.8,0.37
"Jannero,Pargo",Dal,37,80,33,77,7.9,4.4,8,1.69
"Jeff,Pendergraph",Det,27,57,16.1,99,4.2,3,3.9,0.42
"Johan,Petro",Was,23,79,27.5,229,10.1,8,5,0.52
"James,Posey",Ind,23,72,22,119,7.4,5.3,7.9,0.67
"Josh,Powell",Phi,23,74,27.7,170,10.5,2.3,4.3,0.85
"Joel,Przybilla",Cle,30,40,18.9,11,4.7,3,5.3,0.63
"J.J.,Redick",Lac,30,19,14.4,6,3.5,2.5,4.2,0.16
"Jason,Richardson",Orl,28,76,30.3,162,13.1,3,8.2,0.99
"John,Salmons",Chi,25,48,32.6,188,11.7,10.4,7.9,1
"John,Salmons",Bos,32,24,17.8,43,5.4,3.7,4.8,0.08
"James,Singleton",Njn,24,77,11.4,28,3.5,2.8,6.3,0.44
"James,Singleton",Ind,34,49,16.9,15,4.9,3,5.1,0.49
"Jason,Smith",Atl,28,54,11.9,45,4.1,2.5,5.4,0.09
"Josh,Smith",Por,31,31,14.2,23,1.8,3.9,4,0.16
"J.R.,Smith",Orl,26,59,25.4,128,10.1,1.9,5,0.49
"Jerry,Stackhouse",Orl,29,55,34.7,87,13.9,4,5.5,1.2
"Jermaine,Taylor",Pho,29,25,31.7,72,19.3,4.4,6.2,1.08
"Jeff,Teague",Mil,31,73,34.8,240,14,3.6,6.4,0.99
"Jason,Terry",Atl,24,76,34.1,311,16.6,8.6,9.1,1.26
"Jason,Thompson",Den,25,78,24.8,220,12.4,4.1,7.9,1.17
"Jamaal,Tinsley",Nor,24,76,13.9,69,4.3,3.1,5.4,0.33
"Jason,Williams",Sac,23,26,15.4,22,7.1,2,6.7,0.46
"Jawad,Williams",Atl,22,70,13.6,97,5.2,1.5,7.3,0.66
"Julian,Wright",Dal,33,82,31.1,214,15.8,1.9,6.4,1.13
"Joe,Smith",Sac,24,75,23.1,200,8.8,6.1,6.9,0.37
"Kelenna,Azubuike",Was,20,69,37.6,393,16.4,4.6,9.1,1.75
"Keith,Bogans",Cle,27,26,14.9,12,4,1.8,4.8,0.35
"Kwame,Brown",Mem,35,11,11.1,0,1.9,0.7,5.4,0.27
"Kobe,Bryant",Orl,35,16,10.5,0,2.1,1.4,6.2,0.5
"Keyon,Dooling",Tor,23,52,14.5,43,3.6,2.3,5.8,0.75
"Kevin,Durant",Chi,30,82,17.6,32,4.4,1.8,4.8,0.46
"Kyrylo,Fesenko",Cha,28,66,25.8,231,7.9,6.8,5.2,0.39
"Kevin,Garnett",Lal,32,82,33.7,583,25.3,5.1,10,1.21
"Kirk,Hinrich",Mil,30,80,21.8,94,7.1,1.5,5.8,0.68
"Kris,Humphries",Okc,22,78,38.7,675,27.7,6.8,8.3,1.13
"Kris,Humphries",Bos,34,71,31.2,217,14.9,8.9,8.8,1.37
"Kyle,Korver",Atl,30,24,28.4,21,8.6,2.2,5.6,0.79
"Kevin,Love",Was,30,48,30.5,105,11.1,2.7,6.7,1.19
"Kyle,Lowry",Njn,25,74,27.7,191,10,10.4,7,0.46
"Kenyon,Martin",Chi,29,82,19.9,87,8.3,1.8,5.7,0.43
"Kevin,Martin",Min,22,73,35.6,499,20.2,15.2,10.3,0.62
"Kevin,Martin",Hou,24,75,34,251,13.5,4.1,8.5,1.36
"Kevin,Ollie",Den,32,48,25.5,72,8.6,6.2,7.8,0.9
"Kendrick,Perkins",Hou,27,80,32.3,669,23.5,3.2,7.1,1
"Kenny,Thomas",Okc,26,17,25,32,5.1,7.9,5.3,0.41
"Kurt,Thomas",Bos,26,12,25.9,40,7.3,8.1,5.6,0.17
"Kyle,Weaver",Was,20,58,10.7,31,2.7,2.6,4.2,0.29
"LaMarcus,Aldridge",Chi,33,52,22.4,32,4.1,5.8,5.5,0.62
"Louis,Amundson",Por,25,81,39.4,444,21.8,8.8,7.5,1.02
"Leandro,Barbosa",Gol,29,46,14.8,87,4.3,4,5.1,0.28
"Luol,Deng",Tor,28,58,23.9,137,13.3,1.7,6,0.88
"Luther,Head",Chi,25,82,38.9,336,17.4,5.8,6.7,0.95
"Larry,Hughes",Nyk,22,82,30.8,147,9.7,6.3,6.3,0.98
"Larry,Hughes",Cle,22,21,18.9,18,6.2,4.2,6.3,0.52
"Lindsey,Hunter",Sac,28,36,16.1,50,5.6,1.7,6.5,0.28
"LeBron,James",Mia,26,79,38.6,663,26.7,7.5,11.6,1.57
"Luc,Mbah,a,Moute",Tor,25,39,26.3,65,11.2,4.5,5.6,0.49
"Lamar,Odom",Mil,24,79,26.3,188,6.7,5.3,4.8,0.91
"Leon,Powe",Lal,31,82,32,246,14.4,8.7,9,0.59
"Luke,Ridnour",Cle,26,14,13.1,26,5,2.7,3.4,0.5
"Luis,Scola",Min,29,71,30.2,137,11.8,2.8,7.5,1.25
"Luke,Walton",Mil,21,60,14.3,50,4.3,3,4.4,0.37
"Lou,Williams",Hou,30,74,32.4,290,18.3,8.2,8.9,0.65
"Malik,Allen",Phi,24,75,23.1,356,13.7,2,7.8,0.63
"Marcus,Banks",Lal,30,53,19,77,6.7,4.3,7,0.74
"Matt,Barnes",Min,22,73,32.1,291,19.2,5.6,7.7,0.73
"Michael,Beasley",Nor,24,80,24.1,125,10.5,1.9,4.8,0.48
"Marco,Belinelli",Mia,32,22,26.2,16,7.3,2.2,5.2,0.5
"Mike,Bibby",Atl,32,56,29.7,46,9.4,2.6,6,0.7
"Matt,Bonner",San,30,66,21.5,43,7.3,3.6,5.3,0.41
"Marcus,Camby",Por,36,59,25.9,70,4.7,10.3,7.2,0.68
"Marcus,Camby",Cha,30,54,10.6,52,4.4,1.3,5,0.31
"Mario,Chalmers",Mia,24,70,22.4,62,6.4,2.1,5.8,1.09
"Mardy,Collins",Mem,23,81,35.2,247,13.7,3,7.3,1.78
"Mike,Conley",Bos,30,49,19,57,5.5,2.3,5.4,0.8
"Marquis,Daniels",Ind,30,61,27.4,125,11.2,4.5,6.4,0.66
"Mike,Dunleavy",Gol,25,80,40.2,431,24.1,3.5,7.7,2.1
"Monta,Ellis",Den,32,30,12,21,2.3,2.5,4.7,0.13
"Maurice,Evans",Atl,32,47,17.6,28,4.5,1.8,3.8,0.34
"Michael,Finley",Was,32,26,27.2,30,9.7,2.8,3.7,0.69
"Michael,Finley",Mem,25,81,31.7,294,11.7,7,7.4,0.91
"Marc,Gasol",San,33,80,30.1,410,17.4,3.7,9,1.54
"Manu,Ginobili",Orl,26,25,15.7,18,4,4.7,6,0.28
"Marcin,Gortat",Pho,26,55,29.5,175,13,9.3,6.7,0.53
"Mike,Miller",Cle,21,54,17.1,93,5.9,2.6,6.8,0.57
"Mikki,Moore",Mia,29,41,20.2,34,5.6,4.5,6.2,0.49
"Mehmet,Okur",Uta,31,13,12.8,20,4.9,2.3,8,0.31
"Morris,Peterson",Orl,28,19,21.8,6,6.7,2.6,3.8,0.53
"Mickael,Pietrus",Pho,28,38,17.9,51,7.4,2,4.6,0.5
"Micheal,Redd",Mil,31,10,13.2,4,4.4,0.8,4.9,0.2
"Marreese,Speights",Phi,23,64,11.2,73,5.4,3.3,7.4,0.13
"Marcus,Thornton",Nor,33,46,16,66,7.8,2.8,6.7,0.41
"Martell,Webster",Sac,33,27,38,118,21.3,4.7,7.3,1.67
"Marcus,Williams",Min,24,46,23.6,122,9.8,3.2,5.7,0.61
"Marvin,Williams",Atl,24,66,28.4,176,10.4,4.8,5.8,0.52
"Mo,Williams",Cle,27,35,29.5,100,13.3,2.7,8.7,0.94
"Nicolas,Batum",Lac,27,22,32.6,75,15.2,2.5,7.3,0.91
"Nick,Collison",Por,22,80,31.3,164,12.4,4.5,5.6,0.85
"Nene,Hilario",Okc,30,71,21.3,73,4.6,4.5,5.2,0.59
"Nathan,Jawai",Den,28,75,30.3,402,14.5,7.6,8,1.12
"Nenad,Krstic",Bos,27,24,22.8,80,9.1,5.3,4.3,0.38
"Nazr,Mohammed",Okc,27,47,21.5,66,7.6,4.4,4.4,0.38
"Nate,Robinson",Cha,33,51,16.5,88,7.2,4.9,5.3,0.27
"Nate,Robinson",Okc,33,24,17.7,24,6.9,4.8,4.9,0.67
"Nick,Young",Min,24,65,13.4,114,5.5,3,5.6,0.28
"Omri,Casspi",Bos,26,55,17.7,40,7.1,1.6,6.3,0.53
"O.J.,Mayo",Was,25,64,31.6,228,17.4,2.7,4.9,0.7
"Oleksiy,Pecherov",Chi,24,82,11.9,145,2.8,3.7,5.4,0.24
"Pau,Gasol",Sac,22,71,23.8,101,8.6,4.3,5.6,0.76
"Paul,Millsap",Was,25,16,19.5,46,5.7,4.1,6.2,1.06
"Paul,Pierce",Mem,23,71,26.1,131,11.3,2.4,5.8,1.03
"Peja,Stojakovic",Lal,30,82,36.8,430,18.8,10.2,9.3,0.59
"Quentin,Richardson",Ind,20,61,20.5,101,7.8,3.7,6.2,1.02
"Quinton,Ross",Uta,25,76,33.9,338,17.3,7.6,8.1,1.33
"Quinton,Ross",Por,22,64,12.1,47,5.5,0.8,6.5,0.42
"Ray,Allen",Hou,21,52,16.5,42,6.3,3.8,6.5,0.33
"Rafer,Alston",Bos,33,80,34.4,449,18.9,5.4,8.1,1
"Rafer,Alston",Dal,33,25,20,16,8.6,2.6,5.4,0.44
"Ryan,Anderson",Nor,22,66,10.8,34,2.8,1.3,4.2,0.26
"Ron,Artest",Orl,30,57,16.5,44,4.4,3.1,5.1,0.44
"Rodrigue,Beaubois",Bos,35,80,35.9,219,16.5,3.4,5.9,0.98
"Ronnie,Brewer",Orl,22,64,22.1,117,10.7,5.5,6.5,0.47
"Rasual,Butler",Lal,31,82,29.2,136,8.5,3.3,5.3,1.51
"Rodney,Carney",Dal,23,28,17.5,32,8.5,1.8,7.5,0.71
"Ricky,Davis",Uta,34,68,30.6,102,8,2.6,4.3,0.82
"Reggie,Evans",Chi,25,81,21.8,133,6.2,3.2,6,1.31
"Raymond,Felton",Lac,31,41,17.9,27,5,1.9,4.2,0.2
"Rudy,Fernandez",Gol,26,25,13,27,5,1.9,4.8,0.44
"Randy,Foye",Tor,30,30,26.4,88,4.4,11.5,6.1,0.97
"Rudy,Gay",Den,26,21,31.3,60,11.5,3.6,8.3,1.33
"Ryan,Gomes",Nyk,26,54,38.2,181,17.1,3.6,8.6,1.8
"Richard,Hamilton",Por,25,78,23.1,146,8.6,2.2,6.3,1.12
"Roy,Hibbert",Lac,27,63,24.4,149,9.8,1.6,5.7,0.75
"Ryan,Hollins",Mem,24,54,39.6,241,19.8,6.2,7.1,1.69
"Royal,Ivey",Lac,28,76,27.4,85,7.2,3.3,4.9,0.82
"Richard,Jefferson",Det,32,55,27,172,14.1,2.3,6.9,0.71
"Rashard,Levis",Ind,24,81,27.5,275,12.7,7.5,8.4,0.41
"Robin,Lopez",Cle,26,70,16.7,163,5.3,2.7,4.3,0.31
"Roger,Mason,Jr.",San,30,81,30.1,195,11,3.8,5,0.47
"Ronald,Murray",Orl,31,25,32.2,45,12.2,4.2,4.9,0.88
"Ronald,Murray",Was,31,32,31.5,51,11.4,5.8,6.5,0.94
"Rasho,Nesterovic",Pho,22,67,14.6,100,6.4,3.2,3.5,0.27
"Ronnie,Price",Nyk,30,26,12,10,2.9,1.7,5.3,0.23
"Rajon,Rondo",Uta,27,59,12,39,3.3,1,4.8,0.71
"Ramon,Sessions",Bos,24,68,36.9,132,10.6,4.3,8.7,2.18
"Rodney,Stuckey",Cle,24,81,26.1,423,13.3,3.1,9.2,0.74
"Ronny,Turiaf",Det,24,70,31,381,15.5,3.1,8.1,1.09
"Rasheed,Wallace",Nyk,28,64,17.6,98,4.2,3.2,6,0.55
"Russell,Westbrook",Okc,22,82,34.5,631,21.9,4.6,10.9,1.89
"Reggie,Williams",Gol,24,80,20.1,134,9.2,2.7,6.6,0.35
"Shane,Battier",Hou,32,59,30.6,76,8.6,4.7,6.2,0.88
"Steve,Blake",Mem,32,23,24,17,5,4,5.1,0.7
"Steve,Blake",Lal,30,79,19.8,30,4,2,5.3,0.51
"Shannon,Brown",Lal,25,82,18.9,101,8.7,1.9,5.7,0.82
