Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Boris,Diaw",Mia,35,73,19.9,23,4.1,1.9,0.68,0.53
"Ben,Gordon",Por,25,82,35.8,203,13,7.5,0.91,0.7
"Brendan,Haywood",Mem,25,31,20.7,57,8.1,1.9,0.65,0.16
"Brendan,Haywood",Bos,25,41,25.1,61,10.1,2.1,0.95,0.1
"Brandon,Jennings",San,27,53,9,21,3,2.7,0.04,0.09
"Brook,Lopez",Gol,24,44,5.9,36,2.3,0.9,0.27,0.14
"Brad,Miller",Lal,24,23,27.8,73,13.1,3.3,1.35,0.3
"Brandon,Roy",Was,20,73,34.5,189,17.1,3.7,0.97,0.25
"Brandon,Rush",Mia,25,55,14.9,79,7.9,3.1,0.42,0.38
"Brian,Scalabrine",San,27,80,25,131,11.4,2.8,0.63,0.09
"Bobby,Simmons",Cle,20,52,12.5,69,4.2,3,0.4,0.15
"Beno,Udrih",Hou,25,56,31.1,102,10.2,3.5,1.39,0.41
"Bill,Walker",Uta,27,6,7.3,6,0.5,2.8,0,0
"Ben,Wallace",Det,37,19,16,12,3.8,1.5,0.42,0.05
"Chris,Andersen",Cha,21,77,13.7,89,2.9,4.8,0.09,1.12
"Carmelo,Anthony",Dal,24,78,15.4,121,6.4,4.7,0.77,0.28
"Carlos,Arroyo",Lal,33,27,32.8,35,9.5,3.8,1.22,0.07
"Chucky,Atkins",Gol,33,28,21.5,8,4.4,2,0.71,0.21
"Charlie,Bell",Bro,27,73,21.9,221,11.2,5.3,1.03,0.52
"Chauncey,Billups",Pho,24,43,32.8,237,17.7,4.7,1.6,0.33
"Carlos,Boozer",Bos,33,6,9,3,2,0.5,0.17,0
"Chris,Bosh",Gol,29,67,26.2,64,7.3,10,0.72,1.78
"Corey,Brewer",San,33,61,11.1,12,3.2,2.1,0.25,0.18
"Chase,Budinger",Was,26,72,21.4,76,6.8,5.3,0.57,0.63
"Caron,Butler",Chi,32,76,28,193,13.7,8.3,0.71,0.29
"Caron,Butler",Mia,29,79,31.9,272,16.2,6.6,1.01,0.99
"Carlos,Delfino",Bos,23,60,30.7,112,14.9,3.8,1.05,0.18
"Chris,Douglas-Roberts",Atl,34,73,19.2,94,5.7,4.9,0.55,1.21
"Chris,Duhon",Min,27,81,32,227,12.3,2.6,1.85,0.37
"Channing,Frye",Hou,28,23,6.7,2,0.3,0.6,0.26,0.04
"Chuck,Hayes",Hou,29,43,16.5,44,7,1.4,0.58,0.14
"Chris,Hunter",Den,29,29,28.8,51,11.9,2.7,0.93,0.24
"Chris,Kaman",Bos,25,10,7.1,14,3.1,1.9,0.1,0.2
"Carl,Landry",Lal,25,18,12.5,26,6.4,1.7,0.67,0.17
"Carl,Landry",Phi,23,26,8.4,13,2.5,1.1,0.5,0.12
"Courtney,Lee",San,28,10,10.1,9,2.3,1.3,0.1,0
"Corey,Maggette",Nyk,28,19,7.6,12,2.1,0.8,0.63,0
"Cartier,Martin",Lal,35,6,29.4,21,13.8,4.3,1.17,0.17
"C.J.,Miles",Min,25,41,18.1,39,6.7,2.5,0.46,0.05
"Chris,Paul",Lac,22,43,9,9,2.7,1.3,0.21,0.02
"Chris,Quinn",Uta,21,70,32.1,113,12.8,3,0.59,0.09
"Chris,Richard",Uta,22,78,27.9,373,14,3.3,0.88,0.18
"Craig,Smith",Mil,33,34,24,56,11,4.6,0.68,0.32
"Charlie,Villanueva",Okc,33,22,27,19,9.7,3.2,1.09,0.27
"C.J.,Watson",Chi,24,67,38.5,338,13.1,4.9,1.88,0.52
"Chris,Wilcox",Ind,34,50,7.4,14,2.7,0.8,0.14,0.18
"David,Andersen",Tor,24,14,10.2,9,3.1,1.6,0.57,0
"Darrell,Arthur",Cle,26,24,19.8,42,8.4,5.3,0.25,1.17
"D.J.,Augustin",Ind,26,2,17.7,7,11.5,9.5,0,0.5
"DeJuan,Blair",Det,31,56,18.6,121,8.7,1.8,0.7,0.13
"Derrick,Brown",Mem,24,71,16.3,72,4.9,1.9,0.92,0.11
"Devin,Brown",Dal,32,81,30.3,63,11.4,2.4,0.85,0.14
"Devin,Brown",Det,20,80,19.6,62,5.9,2,0.94,0.15
"DeMarre,Carroll",Hou,22,22,11.3,29,4.6,1.1,0.36,0.18
"Darren,Collison",Atl,27,73,31.8,141,11.1,5.5,1.48,0.29
"Daequan,Cook",Dal,37,81,24.2,196,11.9,3.5,0.75,0.42
"Dante,Cunningham",Phi,22,70,34.3,367,16.7,6.2,1.84,0.61
"DeMar,DeRozan",Hou,25,71,17.9,122,6.9,3.7,0.62,0.2
"DeSagana,Diop",Mia,27,73,29.6,163,9.8,2.9,1.63,0.22
"Derek,Fisher",Nyk,31,55,30,155,8.7,9.6,0.67,1.15
"Dan,Gadzuric",Den,26,62,30.7,152,13.6,4.7,0.74,0.5
"Danilo,Gallinari",Nor,30,4,5.8,0,0,0.8,0.25,0
"Devean,George",Pho,27,31,6.2,24,2.3,1.2,0.06,0.1
"Daniel,Gibson",Cle,26,45,15.3,24,5.2,2.8,0.36,0.42
"Drew,Gooden",Nyk,26,9,7.6,10,2.6,1.8,0.11,0.67
"Drew,Gooden",Uta,22,23,7.2,7,3,0.8,0.35,0.09
"Danny,Granger",Por,25,21,8.6,11,2.2,1.9,0.14,0.14
"Donte,Greene",Mia,25,82,24.4,68,6.4,2,0.94,0.06
"Devin,Harris",Bro,35,22,7.7,4,1.1,0.9,0.36,0.05
"Dwight,Howard",Lac,26,80,25.7,224,11.4,2.4,1.16,0.19
"Dahntay,Jones",Okc,33,81,16.5,93,4.2,3.6,0.37,0.35
"DeAndre,Jordan",Mem,26,73,33.3,276,17.2,2.9,1.51,0.18
"David,Lee",Ind,29,41,6.3,14,3.7,0.8,0.07,0.17
"Darko,Milicic",Sac,23,71,32.2,595,22.7,11.7,1.54,1.28
"Dirk,Nowitzki",Por,21,15,6.5,4,2.2,0.6,0.13,0.07
"Derrick,Rose",Lac,33,69,30.1,322,18.6,2.3,0.86,0.17
"Darius,Songaila",Bos,25,39,30.5,126,13.7,3.1,0.87,0.08
"DeShawn,Stevenson",Gol,25,42,15.6,43,8.4,1.5,0.31,0.05
"DeShawn,Stevenson",Dal,23,78,15.9,61,4.6,2.5,0.76,0.27
"DaJuan,Summers",Min,26,81,20,67,6.3,4.1,0.77,0.7
"Dwyane,Wade",Sac,22,8,7.1,14,3,0.6,0.38,0
"David,West",Cle,23,1,8.5,0,3,1,2,0
"Delonte,West",Gol,25,78,36.3,348,24,4.3,1.65,0.18
"D.J.,White",Dal,32,80,20,137,6.6,6.8,0.51,1.18
"Damien,Wilkins",Hou,22,5,14.7,0,8.4,0.8,0,0
"Deron,Williams",Det,26,34,6.8,10,2.4,1.4,0.18,0.03
"Dorell,Wright",Phi,22,51,11.1,53,2.8,2.1,0.47,0.16
"Earl,Boykins",Nor,20,67,35,440,20.8,10,1.33,2.82
"Elton,Brand",Mem,24,63,15,89,5.7,4.1,0.27,0.68
"Erick,Dampier",Orl,28,45,29.9,114,12.1,6.3,1.02,0.49
"Eric,Gordon",Lac,28,23,13.2,23,4.2,3,0.52,0.3
"Eddie,House",San,25,14,8,7,4.1,1.4,0.29,0.29
"Eddie,House",San,26,26,11.3,22,4.3,1.7,0.58,0.12
"Ersan,Ilyasova",Tor,26,21,9,13,3.1,1.3,0.33,0.14
"Eric,Maynor",Phi,24,11,13.5,13,3.4,4.5,0,0.82
"Eric,Maynor",Orl,24,16,14.4,17,3.7,4.9,0.44,0.81
"Eduardo,Najera",Cle,23,72,17.5,48,4.7,1.7,0.47,0.07
"Eduardo,Najera",Chi,28,23,37.2,124,19,6.9,1.04,0.17
"Emeka,Okafor",Cle,28,40,33.7,144,14.3,5.1,0.95,0.13
"Etan,Thomas",Tor,24,79,38,630,22.7,4.3,1.09,0.35
"Earl,Watson",San,31,79,24.8,92,9.1,4.1,0.56,0.41
"Francisco,Garcia",Min,24,60,13.4,93,4.8,5,0.5,0.83
"Fabricio,Oberto",Gol,27,24,10.8,8,3.7,1,0.25,0.08
"Gilbert,Arenas",Mia,27,27,15,26,4.2,2.3,0.48,0.11
"Glen,Davis",Cha,27,49,20.5,82,6.9,2.4,0.59,0.33
"Goran,Dragic",Pho,27,76,34.9,416,20.3,3.2,1.37,0.28
"Gerald,Henderson",Det,20,81,32.2,328,13.5,13.2,1.26,1.62
"George,Hill",Lac,28,74,23.2,58,6.9,2.2,0.55,0.14
"Grant,Hill",San,37,74,29,316,15.1,9.8,0.58,1.88
"Greg,Oden",Chi,33,82,31.3,164,11.3,4.2,0.78,0.56
"Garrett,Temple",Okc,25,81,38.4,805,32,7.4,1.27,0.73
"Gerald,Wallace",Cle,26,2,5.7,0,1,1,0,0
"Hilton,Armstrong",Dal,26,45,8.5,11,3.2,1,0.36,0.04
"Hasheem,Thabeet",Dal,28,82,36.7,430,19,3.6,1.72,0.28
"Hedo,Turkoglu",Nor,35,2,13.4,0,3,0.5,0,0.5
"Hakim,Warrick",Uta,26,66,18.1,75,6.1,4.7,0.64,0.7
"Hakim,Warrick",Bro,33,30,13.1,65,2.7,5,0.43,0.07
"Ime,Udoka",Sac,33,24,20.7,65,5.5,7.7,1,0.04
"Joel,Anthony",Nor,24,72,28,310,14.5,4.7,1.17,0.29
"Jose,Barea",Den,24,80,27,311,13.7,8.5,0.88,0.86
"Jerryd,Bayless",Lal,27,41,22.1,59,10.1,2.5,0.93,0.2
"Jonathan,Bender",Bos,25,37,13,37,4.4,3.5,0.38,0.73
"Josh,Boone",Uta,22,73,30,284,13.3,8.7,1.03,1.48
"Jon,Brockman",Cle,23,7,5.3,4,2.7,0.9,0,0
"Jose,Calderon",Nyk,29,65,30.8,122,9.7,3,1.18,0.42
"Jamal,Crawford",Tor,25,30,10.6,22,2.3,2,0.33,0.1
"Jared,Dudley",Okc,39,81,17.4,71,5.2,1.5,0.86,0.04
"Jordan,Farmar",Den,21,76,19.5,123,8.4,2.7,0.45,0.09
"Jonny,Flynn",Den,30,81,30.5,185,13.2,2.9,0.83,0.48
"Jeff,Foster",Mem,22,21,7.5,2,1.9,1.1,0.19,0.1
"J.R.,Giddens",Sac,24,41,11.1,19,5.9,1.1,0.34,0.07
"Joey,Graham",Chi,24,8,6.7,2,4,0.9,0,0
"Jeff,Green",Por,26,52,13.7,29,3.3,4,0.19,0.42
"James,Harden",Pho,30,82,28,95,11.1,5.1,0.73,0.77
"Jarvis,Hayes",Hou,32,55,19.5,19,5.7,2.2,0.49,0.6
"J.J.,Hickson",Bro,37,54,20.3,47,6.5,6.6,0.81,0.74
"Jordan,Hill",Uta,25,71,14.6,12,3.5,1.4,0.58,0.07
"Jordan,Hill",Mem,29,59,33.2,241,14.6,7.2,1,1.29
"Jrue,Holiday",Lal,33,60,31.2,254,17.4,9.7,0.45,1.53
"Josh,Howard",Tor,27,18,35.3,88,19.4,7.4,1.56,1.28
"Juwan,Howard",Sac,27,55,34.2,299,20.1,5.5,1.22,0.6
"Jarrett,Jack",Cle,26,65,15.5,61,4,2.3,0.6,0.23
"Jared,Jeffries",Ind,23,80,36,464,21.7,6.8,1.89,0.28
"Jared,Jeffries",Chi,28,82,28.5,281,13,6.8,0.5,1.34
"Jonas,Jerebko",San,36,68,22.6,188,12.3,3,1.03,0.25
"James,Johnson",Uta,21,45,9.4,65,2.3,3.4,0.18,0.91
"Joe,Johnson",Okc,31,5,6.7,0,1.2,0.8,0,0
"James,Jones",Was,32,22,17.8,27,8.3,5.1,0.45,0.32
"Jason,Kapono",Pho,19,52,10.1,55,3.7,1.7,0.38,0.21
"Jason,Kidd",Cha,30,19,14.4,21,5.2,1.4,0.53,0.11
"Jamaal,Magloire",Nor,25,64,32,223,15.4,2.6,1.17,0.19
"Jason,Maxiell",Was,29,81,32.6,229,13.2,9.5,0.51,1.49
"JaVale,McGee",Ind,30,29,22.3,53,8.3,3.6,0.31,0.45
"Josh,McRoberts",Lac,30,12,16,14,8,2.3,0.25,0.33
"Jodie,Meeks",Sac,29,33,10,18,1.8,3.1,0.3,0.24
"Jodie,Meeks",San,26,68,24.1,63,9.1,3.4,0.96,0.91
"Jamario,Moon",Gol,23,82,21.7,123,6.2,5,1.2,0.88
"Jameer,Nelson",Pho,28,82,28.2,230,15.8,3.3,0.85,0.52
"Joakim,Noah",Bos,27,82,34,356,16.9,4.6,0.7,0.57
"Jermaine,O'Neal",Lac,32,55,15.6,34,5,1.4,0.4,0.2
"Jannero,Pargo",Lac,24,80,35.6,674,24.1,9.5,1.15,0.64
"Jeff,Pendergraph",Bro,25,15,16.1,12,4.1,1.5,0.67,0.07
"Johan,Petro",Den,23,39,17,31,6.8,3.4,0.79,0.33
"James,Posey",Hou,23,21,16.4,20,6.6,2.9,0.62,0.33
"Josh,Powell",Mia,23,7,9.6,5,3.7,1,0.57,0
"Joel,Przybilla",Tor,28,64,15.1,185,4.9,4.5,0.44,0.3
"J.J.,Redick",Nyk,21,81,22.9,128,10.2,1.5,0.53,0.09
"Jason,Richardson",Hou,24,73,37.9,665,25.4,4.7,1.56,0.4
"John,Salmons",Orl,20,80,24.1,143,7.4,3.3,1.21,0.63
"John,Salmons",Det,24,32,9.7,7,2.9,2.4,0.19,0.47
"James,Singleton",Was,33,34,14.8,35,6.6,2.4,0.41,0
"James,Singleton",Dal,30,40,20.2,115,7.9,2.1,0.7,0.05
"Jason,Smith",Lal,24,2,5.4,0,0,0.5,0.5,0
"Josh,Smith",Lal,24,9,19.8,12,8.1,3.8,0.44,0.11
"J.R.,Smith",Uta,30,20,11,27,4.2,1.7,0.8,0.35
"Jerry,Stackhouse",Orl,21,61,30.2,244,14.6,7,0.67,0.39
"Jermaine,Taylor",Mia,33,46,14,44,3.8,3.8,0.24,0.33
"Jeff,Teague",Phi,25,53,31.2,101,13,8.5,0.58,1.26
"Jason,Terry",Cle,25,27,29.6,51,13.5,7.7,0.48,1
"Jason,Thompson",Sac,30,16,11,7,2.1,2.9,0.69,0.13
"Jamaal,Tinsley",Tor,30,45,12.6,18,2.2,3.6,0.51,0.22
"Jason,Williams",Uta,23,77,36.2,381,16.2,5.1,1.43,0.52
"Jawad,Williams",Cha,26,77,31.7,309,14,4,0.66,0.42
"Julian,Wright",Lal,22,43,20.9,177,10,2.7,1.02,0.16
"Joe,Smith",Mil,23,70,26.3,177,11.1,7.1,0.59,1.66
"Kelenna,Azubuike",Ind,27,81,29.5,269,10.8,6.6,0.36,2.23
"Keith,Bogans",Den,25,69,26.8,290,11.8,9.2,0.68,0.74
"Kwame,Brown",Was,31,53,29.2,266,14.2,5.5,1.21,0.91
"Kobe,Bryant",Ind,27,76,31.8,176,10.3,3.7,0.99,0.32
"Keyon,Dooling",Lal,26,72,20.6,181,9.7,7.4,0.4,0.9
"Kevin,Durant",Ind,22,28,7.9,7,1.7,1.5,0.18,0.07
"Kyrylo,Fesenko",Chi,33,73,28.8,125,9.1,2.6,1.1,0.36
"Kevin,Garnett",Nor,23,34,33.4,63,14.3,4.2,1.65,0.35
"Kirk,Hinrich",Lac,29,61,7.7,56,2.3,1.5,0.15,0.51
"Kris,Humphries",Atl,27,29,32.8,85,18.6,8.4,0.93,1.52
"Kris,Humphries",Hou,28,71,33.5,638,18.3,12.2,0.85,1.8
"Kyle,Korver",Min,24,53,12.2,16,3.4,2.5,0.32,0.04
"Kevin,Love",Bos,28,69,19.7,144,8.4,5.9,0.45,0.88
"Kyle,Lowry",Okc,24,81,32.7,199,15.1,8.8,0.48,2.7
"Kenyon,Martin",Gol,30,63,32.2,132,9.3,4.6,1.51,0.3
"Kevin,Martin",Mil,26,55,26.7,130,11.2,6.2,0.84,0.15
"Kevin,Martin",Cle,21,71,35,338,20.8,3.6,1.52,0.32
"Kevin,Ollie",Cle,30,80,27.9,149,9.5,2.8,0.69,0.28
"Kendrick,Perkins",Okc,23,80,28.2,177,13.1,3.9,1.06,0.11
"Kenny,Thomas",Lac,35,9,11.7,4,1.7,1.1,0.67,0.11
"Kurt,Thomas",San,26,5,9.9,2,1.2,2.4,0,0.2
"Kyle,Weaver",Mia,29,77,37.5,585,27.1,6.9,1.57,0.34
"LaMarcus,Aldridge",Chi,38,11,6.9,2,1,0.6,0.18,0
"Louis,Amundson",Lac,37,22,11.1,25,3.8,2.5,0.41,0.14
"Leandro,Barbosa",San,28,4,8.3,2,1.8,1.5,0,0
"Luol,Deng",Min,28,2,6.3,2,1,1.5,0,0
"Luther,Head",Cha,29,73,34.8,277,21.8,10.8,0.92,1.08
"Larry,Hughes",Uta,33,82,26.8,162,10.1,2.7,0.7,0.17
"Larry,Hughes",Atl,22,13,11.9,4,3.1,1.7,0.08,0.08
"Lindsey,Hunter",Det,24,80,33.9,321,15.5,3.1,1.26,0.1
"LeBron,James",Det,26,64,11.4,59,4.2,2.7,0.33,0.09
"Luc,Mbah,a,Moute",Tor,26,77,28.6,143,10.4,6.5,0.73,1.14
"Lamar,Odom",Bos,23,40,19.5,43,6.3,2.4,0.7,0.1
"Leon,Powe",Mem,26,52,18.2,90,7.4,3.2,0.83,1.1
"Luke,Ridnour",Bro,32,79,32.4,195,15.8,3.4,0.59,0.13
"Luis,Scola",Ind,24,38,8.8,22,2.4,1.3,0.16,0.03
"Luke,Walton",Sac,24,7,7,4,1.3,0.6,0,0.14
"Lou,Williams",Lal,26,79,28.2,77,9.1,4.4,1.09,0.97
"Malik,Allen",Mia,33,20,11.6,11,4.9,1.2,0.15,0.2
"Marcus,Banks",Okc,22,62,12.1,42,3.5,1.8,0.23,0.31
"Matt,Barnes",Orl,29,11,7.5,4,1.3,1.5,0.18,0.18
"Michael,Beasley",Hou,22,76,27.1,195,12.1,6.9,0.71,1.3
"Marco,Belinelli",Lac,25,82,34.8,374,10.4,13.6,0.98,2.48
"Mike,Bibby",San,22,68,13.6,96,5,1.6,0.51,0.21
"Matt,Bonner",Lal,31,39,18.7,68,10.4,5.9,0.28,1.03
"Marcus,Camby",Uta,21,80,26.5,204,12.3,7.5,0.35,0.53
"Marcus,Camby",Cle,20,22,6.9,10,1.7,0.7,0.14,0.05
"Mario,Chalmers",Lal,22,59,22,135,8,3.7,0.54,0.76
"Mardy,Collins",Cha,20,62,24,184,7.2,5.2,0.69,0.63
"Mike,Conley",Bro,32,45,18.9,119,5,3.2,0.89,0.4
"Marquis,Daniels",Mil,22,72,33.1,323,17.9,3.5,0.96,0.24
"Mike,Dunleavy",Atl,32,71,33.7,94,12,4,0.97,0.34
"Monta,Ellis",Mem,24,80,16.7,93,6.4,5.2,0.4,0.89
"Maurice,Evans",Orl,22,53,12.9,36,3.6,0.9,0.21,0.02
"Michael,Finley",Okc,21,78,19.5,64,8.5,2.4,0.72,0.33
"Michael,Finley",Sac,30,18,12.7,17,4.2,3.2,0.17,0.06
"Marc,Gasol",Dal,21,48,10,25,2.8,0.9,0.54,0.02
"Manu,Ginobili",Den,26,62,35.7,406,17.6,3.5,1.61,0.16
"Marcin,Gortat",Bos,28,30,16.6,22,7.4,1.6,0.67,0.3
"Mike,Miller",Mem,28,49,29.8,90,11,2.8,0.92,0.39
"Mikki,Moore",Gol,30,69,33,296,18.2,9.3,0.7,0.38
"Mehmet,Okur",Pho,20,42,8.5,31,2,2.4,0.1,0.43
"Morris,Peterson",San,22,66,28.9,126,12.8,6.2,1.73,0.74
"Mickael,Pietrus",Por,21,40,8.7,21,2.5,2.8,0.18,0.13
"Micheal,Redd",Mem,24,49,12.9,47,6.2,3.2,0.37,0.27
"Marreese,Speights",Mia,34,60,16,33,4.5,1.8,0.88,0.15
"Marcus,Thornton",Por,23,82,35.6,426,20.7,3.5,0.78,0.27
"Martell,Webster",Hou,25,71,28.7,265,12.5,2.6,0.94,0.38
"Marcus,Williams",Bro,28,76,25.8,191,8.3,3.2,1.22,0.42
"Marvin,Williams",Bro,25,17,31.2,115,20.7,6,0.53,1.76
"Mo,Williams",Por,25,82,31.5,242,11.1,8.5,0.32,1.7
"Nicolas,Batum",Min,25,77,36.1,633,26.1,12.5,0.77,0.45
"Nick,Collison",Tor,27,79,36,385,17.9,4.7,1.53,0.19
"Nene,Hilario",Uta,31,42,13.9,16,3.8,0.9,0.33,0
"Nathan,Jawai",Atl,24,73,20.2,74,7.5,2.2,0.68,0.03
"Nenad,Krstic",Ind,27,77,16,145,3.5,3.3,0.53,0.94
"Nazr,Mohammed",Dal,35,76,31.5,65,10.4,6.5,1.18,0.49
"Nate,Robinson",Lal,22,54,28.7,36,8,2.9,0.89,0.07
"Nate,Robinson",Chi,29,6,7.8,4,2.5,0.8,0.17,0
"Nick,Young",Atl,29,53,15.3,61,5.9,2,0.49,0.13
"Omri,Casspi",Nyk,36,32,19.6,19,4.3,4.2,0.78,0.84
"O.J.,Mayo",Min,30,68,31.8,340,19.1,3,0.97,0.09
"Oleksiy,Pecherov",Mia,33,25,10.2,7,3,0.9,0.24,0.04
"Pau,Gasol",Por,27,82,33.8,301,16.4,3.5,0.93,0.17
"Paul,Millsap",Orl,30,34,14.2,31,3.2,2.5,0.24,0.59
"Paul,Pierce",Was,26,23,9.1,3,2.3,1,0.22,0.04
"Peja,Stojakovic",Phi,26,8,13.9,8,3.8,1.9,0.5,0.25
"Quentin,Richardson",Mil,26,52,25.7,88,11.7,2.4,0.54,0.25
"Quinton,Ross",Sac,27,9,21.6,13,4.4,3,1,0.56
"Quinton,Ross",Min,27,55,14.5,54,3.3,2.2,0.4,0.16
"Ray,Allen",Sac,22,45,19.7,43,6.2,1.8,0.49,0.2
"Rafer,Alston",Por,22,38,12.4,34,5.3,1.3,0.37,0.05
"Rafer,Alston",Den,26,5,15.7,1,7,3.4,0.2,1.4
"Ryan,Anderson",Sac,20,82,26.5,143,8.8,2.9,0.55,0.22
"Ron,Artest",Cha,26,78,30.1,85,8.5,4.8,0.74,0.59
"Rodrigue,Beaubois",Lal,26,77,33,258,15.7,2.5,1.44,0.05
"Ronnie,Brewer",Dal,25,31,9.2,12,2.4,0.9,0.13,0.03
"Rasual,Butler",Mil,22,82,29.8,137,12.1,3.8,1.01,0.23
"Rodney,Carney",Cle,26,51,19.1,75,9.9,2,0.9,0.29
"Ricky,Davis",Den,37,30,18.8,47,5.9,2.4,0.5,0.23
"Reggie,Evans",Was,37,28,14.5,30,3.8,2,0.68,0.07
"Raymond,Felton",Nor,23,45,15.8,36,4.4,1.2,0.51,0.2
"Rudy,Fernandez",Mem,33,82,20.6,56,7.1,2.5,0.32,0.06
"Randy,Foye",Den,21,52,15,55,4.9,2.8,0.42,0.62
"Rudy,Gay",San,25,81,18.7,82,10.2,2.1,0.84,0.11
"Ryan,Gomes",Atl,28,74,33.3,391,17.9,8.5,1.74,1.05
"Richard,Hamilton",Chi,36,80,6.8,30,1.6,2.2,0.18,0.38
"Roy,Hibbert",Det,23,82,32.6,367,15.2,9.3,1.11,0.57
"Ryan,Hollins",Orl,24,79,18.9,68,6.3,1.7,0.76,0.16
"Royal,Ivey",Phi,23,12,15.9,21,6.9,1.1,0.67,0
"Richard,Jefferson",Lac,23,10,5.2,2,0.9,0.5,0.2,0
"Rashard,Levis",Mem,23,5,13,3,3,1.6,0.6,0
"Robin,Lopez",Pho,24,82,21.8,159,9.7,3.9,0.88,0.22
"Roger,Mason,Jr.",Pho,24,81,26.4,327,13.8,6,0.84,0.63
"Ronald,Murray",Nor,28,76,18.6,87,8.4,1.8,0.51,0.17
"Ronald,Murray",Hou,23,62,15.2,96,5.5,3.6,0.32,0.34
"Rasho,Nesterovic",Phi,23,12,15.4,5,3,2.9,0.67,0.33
"Ronnie,Price",Den,27,82,21.4,260,9.4,6.4,0.33,1.22
"Rajon,Rondo",Min,21,37,7.6,40,3.9,1.4,0.22,0.03
"Ramon,Sessions",Lac,24,27,6,6,2.5,1.2,0.22,0.11
"Rodney,Stuckey",Phi,24,18,13.5,14,6.8,3.3,0.5,0.44
"Ronny,Turiaf",Nyk,24,51,7.1,39,2.7,0.9,0.37,0.02
"Rasheed,Wallace",Atl,22,20,10.6,14,3.8,2.6,0.15,0.5
"Russell,Westbrook",Sac,27,14,5.1,1,0.4,1.3,0,0.29
"Reggie,Williams",Lal,39,15,20.6,24,6.8,1.9,0.47,0.13
"Shane,Battier",Mil,29,30,20,54,10,1.7,0.23,0
"Steve,Blake",Cha,29,22,22.9,51,11.2,1.8,0.5,0
"Steve,Blake",Gol,22,24,5.7,8,1.1,0.6,0,0.04
"Shannon,Brown",Orl,31,68,31.9,112,12.1,3.4,0.76,0.07
"Stephen,Curry",Orl,24,76,15.2,57,5.7,3.4,0.24,0.3
"Samuel,Dalembert",Chi,28,80,35,335,12.6,11.3,1.24,1.54
