Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Chris,Richard",Dal,30,64,10.6,35,6.3,2.3,0.23,0.34
"Craig,Smith",Min,26,67,19.2,81,6.8,3,0.66,0.15
"Charlie,Villanueva",Mia,36,60,18.9,114,5.3,5,0.43,1.02
"C.J.,Watson",Mia,30,44,35.4,232,21.1,7,0.93,0.57
"Chris,Wilcox",Ind,30,50,16.6,45,6.2,2.2,0.22,0.22
"David,Andersen",Lac,28,12,8.5,8,1.6,1,0.08,0
"Darrell,Arthur",Phi,24,9,20.8,8,6,2.9,1,0.56
"D.J.,Augustin",Uta,24,12,17.6,6,6.8,1.5,1,0
"DeJuan,Blair",Mil,24,8,16,2,3.9,1.4,0.63,0.25
"Derrick,Brown",Por,32,74,18.9,102,8.6,6.5,0.24,0.73
"Devin,Brown",Lac,29,82,34.8,321,19.1,4.6,1.9,0.18
"Devin,Brown",Por,23,62,15.7,73,6.8,1.5,0.69,0.13
"DeMarre,Carroll",Ind,27,70,26.3,161,13.5,3.1,0.86,0.37
"Darren,Collison",Ind,30,57,24.9,167,10,2.9,1,0.16
"Daequan,Cook",Nyk,23,39,16.6,48,5.4,2.5,0.62,0.31
"Dante,Cunningham",Hou,20,12,7.5,23,2.7,3,0.08,0.75
"DeMar,DeRozan",Cha,22,62,24,164,7.6,5.8,0.56,0.79
"DeSagana,Diop",Nyk,26,61,16,64,5.5,5.5,0.62,1.07
"Derek,Fisher",Hou,28,56,25.1,148,11.9,3.6,1.05,0.27
"Dan,Gadzuric",Min,28,24,28.3,78,10.5,3.9,2.25,0.17
"Danilo,Gallinari",Bro,24,50,10.6,54,3.7,2.9,0.2,0.42
"Devean,George",San,23,79,18.3,143,6.8,2.4,0.58,0.22
"Daniel,Gibson",Mem,29,77,30.6,129,10.1,2.3,0.97,0.16
"Drew,Gooden",Det,27,54,23.8,169,10.6,1.9,0.61,0.04
"Drew,Gooden",Okc,27,28,24.2,36,7.3,2.2,0.57,0.04
"Danny,Granger",Por,24,82,35.7,398,21,4.6,1.18,0.26
"Donte,Greene",Ind,28,68,15.4,23,4.8,0.7,0.24,0.07
"Devin,Harris",Den,26,59,24.2,191,12.4,3.7,0.8,0.34
"Dwight,Howard",Mia,31,30,20.4,37,6.3,2.7,0.43,0.2
"Dahntay,Jones",San,27,81,28.5,127,11.7,4.2,1.25,1.07
"DeAndre,Jordan",Nor,27,66,25,47,5.2,3.9,0.7,0.56
"David,Lee",Uta,19,82,22.2,32,4.8,1.6,0.5,0.17
"Darko,Milicic",Nor,24,5,8.7,0,0.4,0.2,0.2,0
"Dirk,Nowitzki",Bro,24,38,7.9,9,2.2,0.7,0.24,0
"Derrick,Rose",Den,26,58,17,59,6.6,2.9,0.83,0.45
"Darius,Songaila",Sac,27,45,34.8,184,16.1,3.2,1.49,0.31
"DeShawn,Stevenson",Gol,31,49,18.5,104,7.9,5.2,0.63,0.53
"DeShawn,Stevenson",Sac,23,3,11,6,2.7,0.7,0.67,0
"DaJuan,Summers",Ind,34,66,28.7,161,11.7,6.8,0.73,0.73
"Dwyane,Wade",Lac,26,82,34.4,471,11.5,15,0.99,2.23
"David,West",Was,25,29,6.2,6,1.9,1.9,0.24,0.03
"Delonte,West",Tor,25,60,35,434,20.1,4.6,1.22,0.18
"D.J.,White",Sac,24,59,34.1,541,24.1,12.7,1.53,1.76
"Damien,Wilkins",Atl,28,70,31.3,181,12.6,5.3,1.34,0.24
"Deron,Williams",Atl,21,77,19.7,179,10,2.1,0.64,0.05
"Dorell,Wright",Bro,30,68,31.1,241,13,3.5,0.94,0.25
"Earl,Boykins",Uta,23,74,30.8,332,16,8.2,0.81,1.66
"Elton,Brand",Chi,26,51,30,187,17.7,3.2,0.71,0.31
"Erick,Dampier",Sac,23,74,19.8,196,8.3,2.7,0.46,0.05
"Eric,Gordon",Dal,31,76,22.2,162,8.8,1.8,1.03,0.18
"Eddie,House",Orl,22,16,13,16,2.3,1.9,0.56,0.13
"Eddie,House",Orl,25,59,14.3,64,3.7,5,0.27,0.85
"Ersan,Ilyasova",Cle,23,33,23.8,60,10.5,1.7,1.33,0.3
"Eric,Maynor",Okc,23,47,30.3,112,12.7,2.9,1,0.23
"Eric,Maynor",Dal,36,77,29.6,289,17.3,5.9,0.51,0.43
"Eduardo,Najera",Ind,27,53,20.9,77,7.4,2.7,0.43,0
"Eduardo,Najera",Hou,24,71,28.7,166,12,5.9,0.79,0.48
"Emeka,Okafor",Por,29,48,12.3,42,4.6,2.3,0.42,0.21
"Etan,Thomas",Chi,23,36,8.9,15,3,1.2,0.11,0.03
"Earl,Watson",Gol,24,79,31.5,200,11.7,8.2,1.56,1.25
"Francisco,Garcia",Was,33,51,16.9,44,5.4,4.4,0.41,0.18
"Fabricio,Oberto",Phi,24,9,7.9,2,1.9,2,0.11,0
"Gilbert,Arenas",Lal,25,6,20.5,10,8.7,2,0.5,0
"Glen,Davis",Hou,29,41,29.8,271,15.8,10.5,0.68,1.29
"Goran,Dragic",Dal,23,24,9.5,31,3.4,2,0.29,0.25
"Gerald,Henderson",Mia,33,62,31.8,370,21.5,3.5,1.18,0.34
"George,Hill",Pho,33,16,8.9,12,2,1.8,0.25,0.13
"Grant,Hill",Bro,27,10,9.3,4,2.7,2.3,0.3,0.4
"Greg,Oden",Lal,25,79,23.3,189,8.3,7.6,0.62,1.24
"Garrett,Temple",Orl,20,82,30.4,214,8.9,4.3,1.73,0.24
"Gerald,Wallace",Uta,27,47,19.7,86,5.3,3.2,1.19,0.34
"Hilton,Armstrong",Uta,25,5,8.4,2,3.6,0.6,0.4,0
"Hasheem,Thabeet",Nor,25,8,9.6,2,2.4,0.6,0.25,0
"Hedo,Turkoglu",Atl,35,36,13.5,23,2.7,2.8,0.47,0.67
"Hakim,Warrick",Okc,22,26,31.1,116,18.7,11,0.5,0.5
"Hakim,Warrick",Uta,22,49,27.1,118,13.8,7.8,0.47,0.33
"Ime,Udoka",Pho,25,81,34.6,441,17,5.2,1.57,0.56
"Joel,Anthony",Nor,26,61,33.1,133,13.4,2.6,0.82,0.23
"Jose,Barea",Den,23,43,9.5,12,3.4,0.7,0.28,0
"Jerryd,Bayless",Mil,27,58,22.7,107,11.5,4.8,0.62,0.33
"Jonathan,Bender",Chi,25,56,9,20,2.7,0.8,0.36,0.11
"Josh,Boone",Orl,22,58,28.6,147,12,2.6,0.69,0.03
"Jon,Brockman",Bos,26,82,27.6,141,9.5,5.1,1.01,0.23
"Jose,Calderon",Gol,25,46,10.9,78,4.4,3.4,0.15,0.91
"Jamal,Crawford",Hou,33,14,14.3,4,3.2,1.2,0.64,0.36
"Jared,Dudley",Phi,23,41,13.2,27,2.3,4.3,0.41,0.39
"Jordan,Farmar",Nor,26,4,10.9,0,1.5,0.3,0.5,0
"Jonny,Flynn",Was,28,52,14.1,48,3.9,1.7,0.81,0.17
"Jeff,Foster",Den,20,55,13.1,47,3.4,1.2,0.71,0.13
"J.R.,Giddens",Cha,30,43,21.6,102,9.6,2.2,0.37,0.02
"Joey,Graham",Min,30,11,23.8,33,11.8,3.2,0.64,0
"Jeff,Green",Ind,28,43,29.5,143,16.1,4.2,1.02,0.33
"James,Harden",Pho,29,74,19.5,120,11.9,2.5,0.57,0.16
"Jarvis,Hayes",Cha,27,80,28.9,217,12.1,3.4,0.64,0.28
"J.J.,Hickson",Bos,32,32,8.9,15,1.1,1.8,0.47,0.13
"Jordan,Hill",Mil,20,81,31.4,347,12.7,6.7,0.9,1.05
"Jordan,Hill",Det,27,3,5.8,0,3.7,1.3,0.33,0
"Jrue,Holiday",Bos,27,18,10.7,1,5.2,1.4,0.06,0.39
"Josh,Howard",Lac,29,74,12.2,95,4,2.3,0.55,0.28
"Juwan,Howard",Was,24,5,8.5,6,2.2,0.8,0,0
"Jarrett,Jack",Phi,21,10,15.3,8,4.4,2.5,0.3,0.1
"Jared,Jeffries",Mia,28,26,34.8,104,16.6,3.4,1.08,0.27
"Jared,Jeffries",Pho,28,52,33.4,130,16.2,3.6,0.96,0.17
"Jonas,Jerebko",Uta,24,76,34.4,462,19.3,4.9,1.42,0.39
"James,Johnson",Min,25,73,30,244,9.7,8.4,0.97,1.71
"Joe,Johnson",Okc,21,5,5,0,1.4,0.8,0,0.4
"James,Jones",Uta,21,3,8.7,1,3,1.7,0.67,0
"Jason,Kapono",Det,24,69,31,336,15.9,10.2,1.13,0.49
"Jason,Kidd",Dal,24,42,8.6,39,1.9,1.9,0.17,0.26
"Jamaal,Magloire",Tor,28,82,24.3,66,9.5,2.6,0.56,0.12
"Jason,Maxiell",Gol,22,82,28.3,150,10.1,5.5,0.74,0.23
"JaVale,McGee",Mia,25,48,23.8,156,11.8,10,0.58,2.54
"Josh,McRoberts",Lac,35,62,11.4,11,3.7,1.6,0.31,0.11
"Jodie,Meeks",Phi,24,73,19.2,137,8,4.9,0.53,0.41
"Jodie,Meeks",Mia,27,24,26.1,18,7.3,3.4,1,0.38
"Jamario,Moon",Phi,23,71,25,89,8.8,2.8,0.8,0.37
"Jameer,Nelson",Uta,23,23,7,5,1.9,0.6,0.26,0.09
"Joakim,Noah",Ind,28,61,18.8,102,4.3,5.8,0.49,0.75
"Jermaine,O'Neal",Cle,24,38,24.2,27,7.2,3.8,1.34,0.34
"Jannero,Pargo",Nyk,24,24,26,37,9.3,3.4,1.25,0.13
"Jeff,Pendergraph",Hou,23,25,14.8,21,6.2,1.3,0.56,0
"Johan,Petro",Phi,23,22,25.9,39,12.6,2.5,0.68,0.14
"James,Posey",Pho,25,46,25.7,211,15.2,2.4,0.98,0.11
"Josh,Powell",Bos,25,21,25.9,137,19,2.1,0.57,0
"Joel,Przybilla",Okc,26,30,5.2,9,1.2,0.9,0.13,0.03
"J.J.,Redick",Phi,26,25,27.1,48,12,2.9,1.28,0.2
"Jason,Richardson",Cle,29,46,31.8,33,12.7,3.5,1.39,0.39
"John,Salmons",Nyk,29,24,25.8,39,10.9,2.4,0.75,0.17
"John,Salmons",Lal,22,19,29.9,85,11.9,1.9,0.63,0.11
"James,Singleton",Mil,19,25,29.5,66,12.3,5.5,1.24,0.2
"James,Singleton",Uta,23,16,5.4,21,1.7,1.6,0.38,0.19
"Jason,Smith",Bos,24,57,24.2,130,9.5,4.6,1,0.35
"Josh,Smith",Dal,24,25,10.6,11,3.6,1.2,0.6,0.2
"J.R.,Smith",Phi,21,74,15.3,94,5.2,2.2,0.51,0.35
"Jerry,Stackhouse",Lac,34,64,26.6,252,15.8,1.9,0.92,0.22
"Jermaine,Taylor",Bos,32,6,20.1,9,4.8,2.8,1.17,0
"Jeff,Teague",Dal,32,23,25.4,8,7.3,2.7,0.65,0.09
"Jason,Terry",Den,32,34,20.6,19,9.6,1.9,0.74,0.12
"Jason,Thompson",Mia,24,62,17,94,5,2.8,0.4,0.27
"Jamaal,Tinsley",Hou,25,81,36.8,824,27.4,5.7,1.9,0.74
"Jason,Williams",Tor,27,70,19.6,102,7.9,3.7,0.76,1
"Jawad,Williams",Cle,34,57,11.7,46,4.4,1.1,0.23,0.14
"Julian,Wright",Gol,22,15,9.1,25,4.1,2.5,0.33,0.6
"Joe,Smith",Bos,19,31,10.7,29,3.4,1.4,0.26,0.06
"Kelenna,Azubuike",Mem,24,20,7,10,2.7,2,0.25,0.15
"Keith,Bogans",San,24,4,6.2,0,2,1.5,0,0.5
"Kwame,Brown",Cha,35,9,8.1,2,4.6,0.3,0,0
"Kobe,Bryant",Mil,29,72,23.8,67,7.2,3.1,1,0.15
"Keyon,Dooling",Bos,22,58,27,129,13.3,7.6,0.76,0.72
"Kevin,Durant",Mem,21,19,6.6,28,3,1.8,0.26,0.26
"Kyrylo,Fesenko",Bro,31,80,28,227,12,3.1,0.94,0.16
"Kevin,Garnett",Cha,31,61,14.4,71,3.3,3.3,0.3,0.72
"Kirk,Hinrich",Phi,34,19,21.9,22,9.1,3.5,0.68,0.16
"Kris,Humphries",Nyk,28,82,21.8,153,8,4,0.39,0.54
"Kris,Humphries",Hou,37,77,21.3,48,7,1.6,0.86,0.25
"Kyle,Korver",Sac,28,81,24.6,143,6.1,6.5,0.41,0.7
"Kevin,Love",Den,27,17,11.4,29,5.2,2.8,0.12,1.12
"Kyle,Lowry",Phi,27,6,10.2,4,3,2.2,0,0.17
"Kenyon,Martin",Min,28,17,12.7,38,3.5,4.5,0.24,0.53
"Kevin,Martin",San,27,51,7.5,36,2.7,2.3,0.16,0.16
"Kevin,Martin",Bos,28,33,33.1,144,17.6,4.3,0.82,0.39
"Kevin,Ollie",Mem,28,45,30.3,143,13.1,4.1,0.58,0.47
"Kendrick,Perkins",Cha,25,29,14.8,41,4.4,1.8,0.41,0.03
"Kenny,Thomas",Atl,26,73,30.5,319,15.9,2.5,1.71,0.42
"Kurt,Thomas",Nor,24,37,7,50,2.6,1.7,0.11,0.49
"Kyle,Weaver",Phi,20,65,21.2,193,6.3,3,0.62,1.05
"LaMarcus,Aldridge",Pho,27,6,6.1,2,1.5,0.5,0.5,0.17
"Louis,Amundson",Uta,27,38,7,29,2.4,1.9,0.29,0.32
"Leandro,Barbosa",Okc,22,47,13.5,55,6.3,2.3,0.45,0.13
"Luol,Deng",Lal,26,74,25.8,268,11.2,2.6,1.12,0.42
"Luther,Head",Bro,28,44,8.7,44,3.1,2.4,0.18,0.34
"Larry,Hughes",Mil,26,77,22.3,137,7.8,2.7,0.77,0.16
"Larry,Hughes",Nor,25,50,10.2,45,3.6,0.8,0.3,0.04
"Lindsey,Hunter",Chi,25,65,38.7,463,20,5.8,1.75,0.55
"LeBron,James",Den,26,73,19.3,201,7.6,6.2,0.49,0.48
"Luc,Mbah,a,Moute",Lac,30,78,30.9,203,16.4,2.1,0.5,0.1
"Lamar,Odom",Chi,29,67,30.6,174,7.2,9.6,0.72,1.1
"Leon,Powe",Det,27,60,24.4,160,11.1,1.7,0.98,0.1
"Luke,Ridnour",Cle,23,51,9.7,15,2.7,0.8,0.14,0.04
"Luis,Scola",Uta,27,79,21.2,40,5,2.2,0.91,0.13
"Luke,Walton",Bro,33,80,34.9,176,14.4,4.8,0.74,0.18
"Lou,Williams",Det,32,49,8.3,22,1.8,1.9,0.24,1
"Malik,Allen",Por,27,48,12.8,25,3.5,4,0.19,0.48
"Marcus,Banks",Hou,31,69,12.4,83,2.7,4,0.58,0.36
"Matt,Barnes",Den,23,24,11.2,28,3.9,3.2,0.33,0.42
"Michael,Beasley",Mil,24,67,18.3,137,7,4.7,0.42,2.01
"Marco,Belinelli",Atl,23,24,12.4,19,5.6,1.6,0.42,0
"Mike,Bibby",Det,32,21,12.9,5,4.7,0.8,0.38,0
"Matt,Bonner",Nor,35,21,12.8,4,2,1,0.43,0.19
"Marcus,Camby",Was,24,79,35.9,362,17.6,4.6,1.75,0.57
"Marcus,Camby",Mil,21,34,10.8,27,2.9,1.9,0.15,0.12
"Mario,Chalmers",Mem,25,63,13.1,59,4.5,3.3,0.27,0.14
"Mardy,Collins",Det,27,46,15.3,36,5.2,3.1,0.59,0.24
"Mike,Conley",Bos,27,29,18.2,30,7.1,4.8,0.66,0.24
"Marquis,Daniels",Tor,22,80,26.2,276,12,8.7,0.43,1.19
"Mike,Dunleavy",Mem,20,30,8.3,23,3.1,0.9,0.53,0.23
"Monta,Ellis",Lal,22,59,25,158,11.9,3.2,0.86,0.2
"Maurice,Evans",Lac,28,36,14.7,11,4.6,1.2,0.56,0.14
"Michael,Finley",Lac,24,14,8.7,0,2.7,1.1,0.14,0
"Michael,Finley",Lal,27,70,26.8,168,12,7.9,0.49,0.76
"Marc,Gasol",Mil,26,10,13.1,10,3.7,1.8,0.5,0
"Manu,Ginobili",Nyk,33,42,30.2,32,9.1,3,0.74,0
"Marcin,Gortat",Dal,30,77,17.7,94,7.5,1.7,0.43,0.01
"Mike,Miller",Mia,27,17,17.4,13,4.2,2.6,0.71,0.18
"Mikki,Moore",Det,29,28,32,111,13.1,7.2,1.32,1.71
"Mehmet,Okur",Hou,29,55,25.5,144,12,6,0.91,1.24
"Morris,Peterson",Nor,24,40,32.6,76,14.8,3.4,1.58,0.58
"Mickael,Pietrus",Lal,20,1,13.6,2,2,0,0,0
"Micheal,Redd",Mia,24,24,12,7,2.8,2,0.33,0.21
"Marreese,Speights",Min,24,17,24.9,40,9,5.1,1.12,1.47
"Marcus,Thornton",Gol,25,59,11.1,45,4.3,1.2,0.68,0.2
"Martell,Webster",Den,20,62,17.8,132,6.9,6.2,0.84,1.1
"Marcus,Williams",Mem,25,1,5.5,0,0,0,1,0
"Marvin,Williams",San,23,64,31.8,252,16.5,7.2,2.31,0.75
"Mo,Williams",Bos,23,64,22.2,136,10.3,4.8,1,0.61
"Nicolas,Batum",Cha,24,62,34.2,283,17.3,3.5,1.44,0.5
"Nick,Collison",Mil,23,28,14.9,9,4.2,1,0.75,0
"Nene,Hilario",Okc,30,51,19.2,75,4,5.5,0.27,0.75
"Nathan,Jawai",Cle,30,17,9.8,8,2.6,2.4,0.12,0.24
"Nenad,Krstic",Den,25,75,27.8,288,12.6,8.9,0.83,0.76
"Nazr,Mohammed",Atl,25,75,17.6,100,5.2,3,0.69,0.44
"Nate,Robinson",Det,21,82,31.5,158,12.7,3.1,1.13,0.22
"Nate,Robinson",Mil,37,11,9.5,2,1.8,1.7,0.45,0.55
"Nick,Young",Okc,26,27,33.8,171,25.4,6.6,0.89,0.93
"Omri,Casspi",Bro,38,42,20.3,41,6.8,6.8,0.98,0.31
"O.J.,Mayo",Min,38,5,19.6,4,7.6,5.2,1,0.8
"Oleksiy,Pecherov",Cle,26,75,33.8,321,16.4,9.7,0.68,0.52
"Pau,Gasol",Min,31,39,33.4,193,20,3.6,0.85,0.03
"Paul,Millsap",Was,25,79,15.6,82,6.6,3.6,0.13,0.75
"Paul,Pierce",Mil,23,79,30.1,156,13.4,4.4,1.54,0.14
"Peja,Stojakovic",Chi,34,66,24.4,50,5.7,1.8,0.7,0.21
"Quentin,Richardson",Phi,21,52,25.4,131,9.2,3.8,0.85,1.31
"Quinton,Ross",Gol,24,77,31.9,256,21.7,3.2,1.13,0.78
"Quinton,Ross",Lal,36,35,34.5,241,22.3,5.7,1.34,0.2
"Ray,Allen",Mem,25,81,16.6,85,5.2,5.2,0.36,0.78
"Rafer,Alston",Hou,24,43,18.5,18,4.2,2.7,0.67,0.3
"Rafer,Alston",Was,29,64,21,117,8,6.5,0.53,0.39
"Ryan,Anderson",San,21,33,10.9,14,2.2,2.2,0.45,0.21
"Ron,Artest",Atl,33,75,32.2,118,12.1,4.1,0.71,0.56
"Rodrigue,Beaubois",Tor,28,70,34.5,312,17.8,4.7,1.56,0.19
"Ronnie,Brewer",Orl,24,51,16.2,57,5.8,3.9,0.61,0.76
"Rasual,Butler",Det,26,54,23.8,36,7.1,2.6,0.61,0.26
"Rodney,Carney",Okc,26,26,17.6,16,3.7,2.1,0.54,0.27
"Ricky,Davis",Cle,22,75,36.4,365,21.7,3.2,1.52,0.27
"Reggie,Evans",Por,29,71,35.4,362,23.4,10.2,0.68,0.96
"Raymond,Felton",Cha,24,61,25.8,110,8.2,4.5,0.62,0.13
"Rudy,Fernandez",Nyk,26,40,26,66,8.3,3,0.65,0.2
"Randy,Foye",Okc,26,22,20.5,33,5.1,3.4,0.5,0
"Rudy,Gay",Tor,26,26,8.3,6,1.8,1,0.42,0
"Ryan,Gomes",Nyk,23,45,32.4,78,11.8,4.2,1.13,0.27
"Richard,Hamilton",Phi,24,12,18.3,3,3.8,1.3,0.5,0
"Roy,Hibbert",Mil,26,27,21.7,48,7.3,6.1,0.96,1.44
"Ryan,Hollins",Ind,25,63,17,47,5,5.1,0.24,0.67
"Royal,Ivey",Gol,32,66,14.9,74,7.1,1.4,0.62,0.12
"Richard,Jefferson",Cle,30,69,36.1,528,25.3,6.1,1.58,0.71
"Rashard,Levis",Lac,30,5,11.1,4,3.6,1.6,1.2,0.2
"Robin,Lopez",Min,24,29,18.9,19,4.2,2.4,0.97,0.21
"Roger,Mason,Jr.",Cle,32,12,6.6,5,0.9,1.7,0.08,0
"Ronald,Murray",Nyk,32,41,20.9,82,6,6,0.51,1.27
"Ronald,Murray",Tor,28,80,25.2,395,15.5,1.9,1.1,0.13
"Rasho,Nesterovic",Phi,28,67,28.6,163,9.9,4.9,1.21,0.31
"Ronnie,Price",Ind,34,81,20.5,226,9.4,6.5,0.58,0.22
"Rajon,Rondo",Nor,25,63,13.2,19,4.1,1.8,0.27,0.17
"Ramon,Sessions",Orl,33,47,14.5,21,4,1.4,0.43,0.09
"Rodney,Stuckey",Mia,29,72,33.6,251,14,5.2,0.92,0.31
"Ronny,Turiaf",Phi,26,17,11.4,13,2.6,3.3,0.18,0.06
"Rasheed,Wallace",San,37,70,22.7,204,10.5,3,0.96,0.29
"Russell,Westbrook",Mem,30,81,33.2,440,17.4,7.8,0.88,1.62
"Reggie,Williams",Was,30,82,29.9,175,12.2,8.7,0.6,1.34
"Shane,Battier",San,28,62,22.4,99,9.2,2.5,0.5,0.05
"Steve,Blake",Pho,25,81,25.2,113,10.4,4.8,0.78,0.2
"Steve,Blake",Bos,20,67,27,127,7.8,3.3,1.48,0.27
"Shannon,Brown",Bos,27,39,16.4,51,8.9,1.9,0.54,0.18
"Stephen,Curry",Pho,27,9,8.9,5,3.6,1.4,0.67,0
